partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
0,12077,6,555,10698,1379,1549,0,0,112,687,1410,1434
1,12087,3,555,11190,897,991,0,0,515,558,917,888
2,12072,8,397,10599,1473,1641,0,0,473,0,1509,1510
3,12067,5,325,11070,997,1119,0,0,609,302,1020,1025
4,12069,8,361,10787,1282,1454,0,0,505,89,1321,1365
5,12075,13,361,10201,1874,2131,0,0,0,455,1935,1956
6,12080,9,430,10495,1585,1794,0,0,394,0,1630,1651
7,12085,8,430,10579,1506,1712,0,0,506,0,1562,1556
8,12091,6,388,10777,1314,1436,0,0,619,263,1333,1316
9,12074,9,330,10655,1419,1587,0,0,529,0,1460,1430
10,12103,6,388,10933,1170,1287,0,0,483,298,1197,1173
11,12082,13,378,10223,1859,2093,0,0,0,309,1927,1922
12,12082,6,421,10918,1164,1304,0,0,487,491,1187,1203
13,12097,9,327,10703,1394,1570,0,0,582,0,1432,1437
14,12099,5,459,11179,920,1019,0,0,625,612,942,927
15,12084,8,459,10564,1520,1701,0,0,0,505,1560,1558
16,12084,7,407,10691,1393,1557,0,0,535,0,1442,1415
17,12052,13,415,10032,2020,2304,0,0,237,43,2087,2107
18,12066,8,644,10872,1194,1332,0,0,605,323,1229,1194
19,12088,9,644,10145,1943,2206,0,0,178,180,1993,2015
20,12083,8,330,10544,1539,1722,0,0,0,556,1585,1586
21,12077,7,415,10685,1392,1544,0,0,524,0,1418,1405
22,12076,6,350,10988,1088,1213,0,0,429,504,1111,1107
23,12061,5,350,11057,1004,1104,0,0,570,630,1019,1010
24,12070,5,414,11029,1041,1172,0,0,412,468,1061,1079
25,12072,7,414,10642,1430,1606,0,0,498,0,1466,1502
26,12059,4,377,11017,1042,1154,0,0,463,393,1066,1059
27,12077,12,377,10700,1377,1555,0,0,109,968,1414,1439
28,12095,12,429,10556,1539,1758,0,0,366,0,1597,1601
29,12070,9,429,10591,1479,1636,0,0,500,0,1527,1498
30,12084,6,536,10802,1282,1438,0,0,505,149,1313,1301
31,12080,10,536,10548,1532,1723,0,0,288,239,1572,1573
