partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
3434,11939,15,452,10102,1837,2324,0,0,0,0
3435,11969,15,334,10257,1712,2220,0,0,0,0
3436,11961,15,292,10359,1602,2088,0,0,0,52
3437,12063,14,356,10438,1625,2112,0,0,0,0
3438,12063,17,410,10234,1829,2404,0,0,0,0
3439,11959,13,410,10351,1608,2154,0,0,0,0
3440,11888,16,281,10237,1651,2080,0,0,0,0
3441,12062,16,318,10244,1818,2348,0,0,0,0
3442,12018,19,311,10292,1726,2296,0,0,0,0
3443,11928,16,318,10273,1655,2114,0,0,0,0
3444,11966,16,381,10274,1692,2208,0,0,0,0
3445,11935,16,416,10086,1849,2374,0,0,0,0
3446,11983,15,416,10313,1670,2174,0,0,0,0
3447,11937,18,274,10197,1740,2268,0,0,0,0
3448,11840,17,413,10003,1837,2274,0,0,0,0
3449,11944,14,402,10201,1743,2218,0,0,0,0
3450,11998,14,310,10333,1665,2132,0,0,0,0
3451,11912,16,377,10092,1820,2258,0,0,0,0
3452,11943,15,311,10361,1582,2062,0,0,0,0
3453,11973,15,305,10385,1588,2100,0,0,0,0
3454,11925,17,374,10140,1785,2322,0,0,0,0
3455,11895,13,324,10195,1700,2182,0,0,0,0
3456,11956,14,350,10228,1728,2180,0,0,0,0
3457,12016,17,374,10179,1837,2380,0,0,0,0
3458,11902,17,304,10325,1577,2048,0,0,0,0
3459,11939,17,310,10273,1666,2104,0,0,0,0
3460,11994,17,368,10305,1689,2212,0,0,0,0
3461,12011,14,443,10316,1695,2182,0,0,0,0
3462,11808,16,443,9878,1930,2380,0,0,0,0
3463,11922,19,249,10256,1666,2154,0,0,0,0
3464,12061,18,370,10356,1705,2240,0,0,0,0
3465,11884,15,394,10156,1728,2194,0,0,0,0
3466,11903,18,286,10294,1609,2192,0,0,0,0
3467,11871,14,370,10206,1665,2164,0,0,0,0
3468,11974,13,317,10492,1482,1893,0,0,0,199
3469,11951,16,354,10139,1812,2344,0,0,0,0
3470,11933,11,414,10514,1419,1810,0,0,0,424
3471,11955,12,414,10324,1631,2128,0,0,0,0
3472,11950,17,340,10301,1649,2154,0,0,0,0
3473,11935,19,340,10215,1720,2254,0,0,0,0
3474,11949,13,401,10417,1532,1982,0,0,0,266
3475,11959,11,391,10517,1442,1829,0,0,0,259
3476,12021,15,291,10423,1598,2070,0,0,0,0
3477,11962,13,291,10426,1536,1978,0,0,0,0
3478,11942,15,464,10249,1693,2160,0,0,0,0
3479,11951,14,464,10224,1727,2268,0,0,0,0
3480,11957,10,391,10461,1496,1951,0,0,0,179
3481,11940,11,285,10557,1383,1781,0,0,0,351
3482,11942,13,370,10241,1701,2200,0,0,0,0
3483,11942,18,465,10140,1802,2348,0,0,0,0
3484,11933,16,339,10172,1761,2226,0,0,0,0
3485,11947,17,306,10127,1820,2356,0,0,0,0
3486,11922,15,365,10222,1700,2184,0,0,0,0
3487,11985,16,365,10243,1742,2220,0,0,0,0
3488,11965,14,337,10320,1645,2148,0,0,0,0
3489,11929,12,337,10233,1696,2128,0,0,0,0
3490,11952,14,327,10299,1653,2134,0,0,0,0
3491,12009,16,339,10324,1685,2192,0,0,0,0
3492,11949,15,419,10317,1632,2078,0,0,0,0
3493,11901,17,419,10098,1803,2314,0,0,0,0
3494,12029,13,377,10415,1614,2122,0,0,0,0
3495,11944,14,287,10352,1592,1958,0,0,0,0
3496,11947,16,432,10194,1753,2240,0,0,0,0
3497,11951,15,432,10130,1821,2344,0,0,0,0
3498,11952,14,355,10254,1698,2186,0,0,0,0
3499,11936,15,283,10210,1726,2192,0,0,0,0
3500,11911,8,354,10658,1253,1361,0,0,659,0
3501,11981,7,316,10875,1106,1225,0,0,785,0
3502,11912,17,326,10229,1683,1903,0,0,505,0
3503,11965,15,334,10239,1726,2048,0,0,386,0
3504,11995,8,334,10896,1099,1224,0,0,656,0
3505,11933,8,355,10705,1228,1361,0,0,687,0
3506,11835,13,319,9983,1852,2204,0,0,280,0
3507,11973,10,326,10662,1311,1470,0,0,714,0
3508,11954,10,354,10646,1308,1458,0,0,700,0
3509,11990,12,419,10441,1549,1816,0,0,426,0
3510,11869,10,419,10580,1289,1404,0,0,620,0
3511,11954,19,335,10251,1703,2158,0,0,0,0
3512,11887,16,367,10114,1773,2188,0,0,0,0
3513,11967,18,367,10148,1819,2290,0,0,0,0
3514,11927,20,268,10284,1643,2088,0,0,0,0
3515,11956,16,430,10121,1835,2148,0,0,314,0
3516,11904,8,430,10806,1098,1198,0,0,744,0
3517,11958,17,353,10326,1632,2236,0,0,0,0
3518,11979,18,245,10384,1595,2036,0,0,0,0
3519,11958,7,464,10767,1191,1335,0,0,739,0
3520,11882,12,464,10447,1435,1574,0,0,668,0
3521,11960,10,232,10888,1072,1212,0,0,726,0
3522,11903,12,297,10692,1211,1382,0,0,724,0
3523,11927,10,372,10648,1279,1449,0,0,611,0
3524,11908,13,372,10392,1516,1739,0,0,461,0
3525,11943,11,326,10716,1227,1373,0,0,657,0
3526,11946,8,326,10778,1168,1295,0,0,805,0
3527,11886,8,356,10614,1272,1432,0,0,712,0
3528,11819,11,349,10562,1257,1407,0,0,609,0
3529,12010,20,281,10324,1686,2112,0,0,0,0
3530,11925,8,356,10723,1202,1353,0,0,635,0
3531,11897,8,385,10744,1153,1289,0,0,757,0
3532,11955,11,348,10683,1272,1425,0,0,737,0
3533,11968,9,385,10691,1277,1449,0,0,727,0
3534,11998,8,389,10864,1134,1290,0,0,816,0
3535,11858,10,389,10577,1281,1403,0,0,711,0
3536,11988,22,376,10018,1970,2391,0,0,141,0
3537,11906,18,376,10159,1747,2164,0,0,0,0
3538,12056,15,379,10195,1861,2212,0,0,256,0
3539,11858,18,379,9990,1868,2400,0,0,0,0
3540,11951,9,305,10750,1201,1359,0,0,607,0
3541,11905,8,346,10730,1175,1296,0,0,746,0
3542,11957,10,318,10783,1174,1324,0,0,794,0
3543,11892,10,306,10602,1290,1408,0,0,726,0
3544,11982,13,295,10177,1805,2207,0,0,197,0
3545,12031,15,272,10428,1603,2076,0,0,0,0
3546,11964,11,397,10532,1432,1656,0,0,554,0
3547,11882,8,397,10543,1339,1461,0,0,743,0
3548,11850,9,309,10634,1216,1348,0,0,610,0
3549,11950,8,402,10579,1371,1594,0,0,518,0
3550,11891,8,306,10669,1222,1335,0,0,791,0
3551,11968,7,357,10771,1197,1296,0,0,698,0
3552,11923,17,282,10204,1719,2136,0,0,0,0
3553,11982,18,282,10359,1623,1996,0,0,0,0
3554,11875,9,326,10624,1251,1409,0,0,627,0
3555,11964,8,376,10722,1242,1384,0,0,684,0
3556,11877,12,308,10303,1574,1809,0,0,469,0
3557,11904,12,402,10328,1576,1823,0,0,415,0
3558,11848,11,376,10508,1340,1495,0,0,597,0
3559,12050,16,369,10417,1633,1962,0,0,400,0
3560,11908,20,319,10198,1710,2120,0,0,0,0
3561,11932,17,319,10233,1699,2170,0,0,0,0
3562,11959,10,290,10782,1177,1345,0,0,697,0
3563,11927,8,320,10757,1170,1300,0,0,844,0
3564,11948,18,320,10200,1748,2078,0,0,196,0
3565,11955,9,274,10797,1158,1289,0,0,707,0
3566,11883,10,274,10633,1250,1373,0,0,593,0
3567,11909,16,340,10291,1618,2050,0,0,0,0
3568,11969,13,326,10297,1672,1998,0,0,294,0
3569,11916,7,405,10835,1081,1180,0,0,770,0
3570,11971,11,405,10623,1348,1523,0,0,559,0
3571,11902,20,408,10090,1812,2250,0,0,0,0
3572,12013,17,322,10357,1656,1979,0,0,393,0
3573,11905,8,349,10808,1097,1212,0,0,744,0
3574,11923,10,370,10683,1240,1384,0,0,790,0
3575,11869,17,370,10137,1732,2019,0,0,189,0
3576,11951,7,318,10759,1192,1332,0,0,890,0
3577,11931,17,255,10242,1689,2140,0,0,0,0
3578,11904,16,315,10178,1726,2270,0,0,0,0
3579,11915,13,340,10246,1669,2124,0,0,0,0
3580,11993,18,340,10257,1736,2214,0,0,0,0
3581,11987,16,357,10301,1686,2288,0,0,0,0
3582,11814,17,322,10149,1665,2142,0,0,0,0
3583,11927,17,357,10266,1661,2162,0,0,0,0
3584,12062,15,291,10474,1588,2148,0,0,0,0
3585,11931,16,304,10231,1700,2214,0,0,0,0
3586,11940,12,351,10254,1686,2140,0,0,0,0
3587,11941,17,395,10188,1753,2210,0,0,0,0
3588,12011,14,395,10412,1599,2098,0,0,0,0
3589,11939,18,351,10119,1820,2356,0,0,0,0
3590,11993,15,302,10379,1614,2126,0,0,0,0
3591,11937,16,376,10271,1666,2160,0,0,0,0
3592,11938,13,376,10250,1688,2234,0,0,0,0
3593,12031,17,429,10289,1742,2314,0,0,0,0
3594,11917,14,413,10237,1680,2084,0,0,0,0
3595,11998,16,313,10320,1678,2186,0,0,0,0
3596,11981,15,312,10268,1713,2284,0,0,0,0
3597,12002,18,288,10264,1738,2194,0,0,0,0
3598,11873,19,296,10159,1714,2160,0,0,0,0
3599,11939,16,429,9998,1941,2316,0,0,0,0
3600,11880,17,329,10084,1796,2244,0,0,0,0
3601,12061,18,392,10326,1735,2294,0,0,0,0
3602,11970,18,392,10324,1646,2120,0,0,0,0
3603,11949,15,384,10144,1805,2340,0,0,0,0
3604,11847,14,381,10007,1840,2220,0,0,0,0
3605,11937,13,437,10245,1692,2160,0,0,0,0
3606,11933,19,437,10176,1757,2284,0,0,0,0
3607,11958,16,452,10323,1635,2046,0,0,0,0
3608,11989,15,452,10175,1814,2372,0,0,0,0
3609,11970,16,353,10338,1632,2180,0,0,0,0
3610,11931,14,276,10402,1529,1972,0,0,0,0
3611,12003,14,338,10392,1611,2088,0,0,0,0
3612,11998,15,263,10401,1597,2062,0,0,0,0
3613,11931,17,392,10086,1845,2366,0,0,0,0
3614,11976,15,392,10342,1634,2120,0,0,0,0
3615,12013,13,302,10408,1605,2132,0,0,0,0
3616,11907,16,371,10134,1773,2242,0,0,0,0
3617,11926,15,458,10334,1592,2188,0,0,0,0
3618,11903,17,458,9995,1908,2386,0,0,0,0
3619,11923,17,325,10083,1840,2346,0,0,0,0
3620,11951,15,372,10331,1620,2138,0,0,0,0
3621,11947,16,311,10274,1673,2120,0,0,0,0
3622,11956,14,311,10327,1629,2092,0,0,0,0
3623,11945,15,348,10271,1674,2132,0,0,0,0
3624,11900,15,338,10250,1650,2138,0,0,0,0
3625,11968,10,249,10623,1345,1526,5,765,338,0
3626,11875,12,318,10590,1285,1432,0,0,806,0
3627,11943,10,294,10746,1197,1343,0,0,713,0
3628,11965,8,467,10482,1483,1692,6,598,310,0
3629,11840,11,376,10497,1343,1472,4,266,706,0
3630,11948,9,471,10482,1466,1658,5,373,494,0
3631,11884,8,471,10492,1392,1531,6,932,333,0
3632,11981,17,357,10186,1795,2130,22,216,0,0
3633,11862,9,382,10292,1570,1774,17,821,0,0
3634,11850,12,357,10327,1523,1704,11,779,0,0
3635,11905,22,320,10052,1853,2116,9,505,0,0
3636,11872,13,408,10289,1583,1758,13,869,0,0
3637,12013,21,408,10021,1992,2364,5,109,0,0
3638,11861,11,406,10167,1694,1884,17,813,0,0
3639,11975,13,406,10479,1496,1694,4,744,0,0
3640,11878,9,273,10702,1176,1304,0,0,716,0
3641,11922,12,273,10554,1368,1511,10,10,579,0
3642,11929,13,401,10650,1279,1420,9,179,636,0
3643,11884,9,467,10331,1553,1713,6,614,435,0
3644,11894,11,419,10346,1548,1722,3,735,0,0
3645,11972,13,419,10300,1672,1886,10,654,0,0
3646,11888,21,384,9943,1945,2276,28,218,0,0
3647,11857,13,384,10183,1674,1908,29,705,0,0
3648,11871,10,396,10548,1323,1448,3,415,532,0
3649,12006,9,396,10560,1446,1622,4,726,292,0
3650,11826,8,328,10672,1154,1260,0,0,696,0
3651,11983,16,328,10295,1688,1941,0,0,497,0
3652,11893,12,262,10543,1350,1540,0,0,672,0
3653,11883,8,357,10688,1195,1321,0,0,711,0
3654,11968,11,446,10447,1521,1700,15,505,0,0
3655,11992,13,446,10483,1509,1742,11,197,82,0
3656,11839,10,401,10259,1580,1780,6,692,0,0
3657,11935,18,447,10153,1782,2016,13,563,0,0
3658,11942,12,447,10342,1600,1814,7,687,0,0
3659,11847,14,389,10152,1695,1914,7,625,0,0
3660,12004,11,389,10378,1626,1870,7,797,0,0
3661,11848,17,427,9951,1897,2114,17,741,0,0
3662,11947,17,427,10169,1778,2098,8,136,0,0
3663,11912,10,347,10467,1445,1596,15,893,0,0
3664,11871,13,347,10346,1525,1718,6,190,0,0
3665,12032,17,337,10378,1654,1940,17,541,0,0
3666,11887,14,316,10328,1559,1776,5,697,0,0
3667,12020,11,541,10504,1516,1732,2,834,0,0
3668,11964,13,439,10179,1785,2050,10,650,0,0
3669,11896,16,582,10177,1719,1964,2,96,0,0
3670,11954,12,582,10323,1631,1860,4,740,0,0
3671,11904,9,404,10465,1439,1634,7,747,0,0
3672,11865,12,404,10230,1635,1832,9,681,0,0
3673,11987,9,343,10518,1469,1666,11,767,0,0
3674,11927,22,267,10173,1754,2132,0,0,0,0
3675,11944,13,471,10105,1839,2048,11,499,0,0
3676,11983,12,471,10516,1467,1678,5,139,0,0
3677,11838,11,424,10355,1483,1672,1,277,0,0
3678,11948,17,424,9960,1988,2314,13,377,0,0
3679,12040,12,419,10511,1529,1750,0,234,0,0
3680,11880,14,419,10149,1731,1930,8,546,0,0
3681,12010,12,389,10527,1483,1714,6,662,0,0
3682,11901,10,533,10469,1432,1580,0,436,0,0
3683,11835,23,302,9829,2006,2474,0,0,0,0
3684,11978,23,302,10121,1857,2316,0,0,0,0
3685,11944,10,306,10557,1387,1576,9,345,0,0
3686,11991,15,533,10395,1596,1860,0,26,0,0
3687,11900,14,339,10305,1595,2066,0,0,0,0
3688,11985,12,419,10457,1528,1980,0,0,0,0
3689,11958,18,419,10045,1913,2438,0,0,0,0
3690,11845,18,369,10136,1709,2182,0,0,0,0
3691,11979,17,369,10191,1788,2264,0,0,0,0
3692,11883,15,329,10206,1677,2074,0,0,0,0
3693,12031,16,339,10320,1711,2196,0,0,0,0
3694,11872,17,318,10213,1659,2120,0,0,0,0
3695,11994,16,247,10357,1637,2150,0,0,0,0
3696,11940,14,365,10311,1629,2134,0,0,0,0
3697,11943,15,365,10193,1750,2216,0,0,0,0
3698,11965,14,363,10396,1569,2010,0,0,0,0
3699,11952,19,363,10128,1824,2310,0,0,0,0
3700,11981,15,324,10336,1645,2138,0,0,0,0
3701,11905,17,318,10044,1861,2356,0,0,0,0
3702,11944,19,320,10288,1656,2086,0,0,0,0
3703,12009,15,319,10313,1696,2190,0,0,0,0
3704,11975,16,426,10309,1666,2110,0,0,0,0
3705,11936,17,426,10265,1671,2172,0,0,0,0
3706,12013,20,376,10254,1759,2248,0,0,0,0
3707,11914,18,376,10299,1615,2072,0,0,0,0
3708,11916,19,422,10266,1650,2118,0,0,0,0
3709,12051,22,422,10196,1855,2376,0,0,0,0
3710,11902,16,352,10266,1636,2172,0,0,0,0
3711,11911,15,352,10137,1774,2244,0,0,0,0
3712,11922,15,339,10182,1740,2170,0,0,0,0
3713,11950,20,384,10226,1724,2190,0,0,0,0
3714,11955,20,346,10196,1759,2258,0,0,0,0
3715,12061,17,249,10473,1588,2068,0,0,0,0
3716,11966,12,362,10337,1629,2134,0,0,0,0
3717,11834,17,362,10077,1757,2174,0,0,0,0
3718,11980,15,425,10337,1643,2168,0,0,0,0
3719,11919,19,366,10274,1645,2136,0,0,0,0
3720,11945,16,333,10134,1811,2288,0,0,0,0
3721,11999,21,333,10268,1731,2262,0,0,0,0
3722,11961,12,268,10568,1393,1569,0,0,639,0
3723,11873,19,425,10068,1805,2218,0,0,0,0
3724,11892,8,300,10710,1182,1326,0,0,712,0
3725,11893,7,268,10759,1134,1282,0,0,646,0
3726,11988,10,385,10704,1284,1455,0,0,781,0
3727,11950,10,385,10788,1162,1295,0,0,695,0
3728,11869,10,272,10632,1237,1366,0,0,636,0
3729,11862,11,316,10459,1403,1579,0,0,567,0
3730,11911,9,331,10672,1239,1352,0,0,640,0
3731,11947,7,331,10946,1001,1123,0,0,729,0
3732,11885,9,255,10692,1193,1331,0,0,743,0
3733,11899,10,362,10680,1219,1338,0,0,626,0
3734,11934,18,304,10367,1567,1796,0,0,468,0
3735,11982,10,311,10849,1133,1283,0,0,755,0
3736,11953,20,379,10250,1703,2130,0,0,0,0
3737,11878,22,379,10101,1777,2142,0,0,0,0
3738,11874,8,417,10621,1253,1369,0,0,757,0
3739,11962,12,417,10716,1246,1408,0,0,656,0
3740,11851,9,363,10553,1298,1442,0,0,776,0
3741,11899,10,350,10725,1174,1299,0,0,673,0
3742,11962,10,374,10683,1279,1442,0,0,676,0
3743,11867,13,374,10415,1452,1617,0,0,525,0
3744,11903,14,440,10216,1687,2152,0,0,0,0
3745,11957,22,440,10164,1793,2268,0,0,0,0
3746,11952,18,363,10079,1873,2223,0,0,211,0
3747,11980,16,383,10290,1690,2162,0,0,0,0
3748,11846,8,496,10439,1407,1556,0,0,796,0
3749,11948,8,496,10801,1147,1292,0,0,716,0
3750,11861,16,418,10156,1705,2146,0,0,0,0
3751,11911,17,418,10229,1682,2218,0,0,0,0
3752,12007,15,374,10377,1630,2122,0,0,0,0
3753,11943,16,327,10280,1663,2158,0,0,0,0
3754,11982,17,374,10229,1753,2288,0,0,0,0
3755,11960,12,391,10362,1598,2090,0,0,0,0
3756,11957,16,413,10267,1690,2310,0,0,0,0
3757,11964,14,344,10359,1605,2086,0,0,0,0
3758,11968,17,320,10312,1656,2130,0,0,0,0
3759,11984,18,344,10200,1784,2294,0,0,0,0
3760,11925,17,298,10253,1672,2140,0,0,0,0
3761,11971,14,362,10373,1598,2138,0,0,0,0
3762,11941,18,362,10052,1889,2400,0,0,0,0
3763,11926,17,317,10085,1841,2332,0,0,0,0
3764,11907,14,288,10269,1638,2076,0,0,0,0
3765,11927,20,425,10177,1750,2300,0,0,0,0
3766,11950,17,425,10344,1606,2068,0,0,0,0
3767,11955,18,584,10206,1749,2312,0,0,0,0
3768,11956,17,584,10078,1878,2468,0,0,0,0
3769,11953,13,429,10244,1709,2240,0,0,0,0
3770,11945,17,429,10235,1710,2292,0,0,0,0
3771,11948,15,342,10311,1637,2142,0,0,0,0
3772,11955,19,358,10218,1737,2240,0,0,0,0
3773,11943,16,346,10199,1744,2206,0,0,0,0
