partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
0,3008,16,142,2220,788,872,0,0,0,0,843,827
1,3019,9,142,2495,524,583,0,0,203,0,558,568
2,3048,7,180,2539,509,564,0,0,89,145,529,539
3,3007,7,180,2489,518,546,0,0,200,86,536,512
4,3027,5,254,2538,489,535,0,0,0,263,506,531
5,3006,5,254,2521,485,506,0,0,294,170,502,475
6,3008,9,103,2499,509,555,0,0,0,337,539,513
7,3020,8,145,2470,550,602,0,0,61,131,575,578
8,3031,6,197,2578,453,490,0,0,198,184,475,464
9,3031,8,197,2398,633,708,0,0,104,0,665,705
10,3026,15,124,2377,649,715,0,0,0,177,683,695
11,3013,12,135,2389,624,676,0,0,0,158,658,651
12,3045,11,184,2304,741,830,0,0,0,0,779,814
13,2987,9,184,2375,612,650,0,0,236,0,640,602
14,3005,13,190,2239,766,862,0,0,0,0,832,818
15,3016,11,190,2450,566,632,0,0,174,0,600,614
16,3048,9,123,2523,525,604,0,0,182,0,554,592
17,3004,11,137,2386,618,680,0,0,114,0,660,643
18,2987,9,177,2441,546,591,0,0,100,97,575,538
19,3035,10,177,2479,556,618,0,0,93,119,580,596
20,3027,4,210,2535,492,545,0,0,71,190,509,518
21,3036,12,154,2440,596,691,0,0,0,127,636,671
22,3029,8,210,2436,593,659,0,0,194,21,621,650
23,3015,9,157,2430,585,650,0,0,140,0,615,617
24,3008,10,112,2450,558,595,0,0,181,0,589,563
25,3032,9,145,2474,558,617,0,0,175,0,585,594
26,3037,8,154,2513,524,596,0,0,162,0,555,576
27,3010,11,154,2347,663,721,0,0,159,0,700,679
28,3015,12,154,2385,630,672,0,0,0,218,658,625
29,3045,17,126,2392,653,753,0,0,0,73,698,741
30,3018,18,149,2280,738,840,0,0,0,0,790,815
31,3025,17,126,2285,740,812,0,0,0,0,777,782
32,3034,5,124,2705,329,339,0,0,152,293,336,317
33,3046,6,140,2629,417,476,0,0,153,135,443,474
34,3002,7,155,2541,461,491,0,0,0,327,485,457
35,3024,11,155,2324,700,769,0,0,0,101,733,745
36,2996,12,125,2283,713,773,0,0,95,0,753,713
37,3041,9,125,2484,557,628,0,0,136,0,586,617
38,3036,6,147,2502,534,589,0,0,139,0,556,575
39,3023,8,147,2546,477,512,0,0,118,200,503,485
40,3025,6,187,2526,499,576,0,0,270,64,522,570
41,3006,9,187,2366,640,687,0,0,0,121,668,639
42,3013,8,148,2492,521,574,0,0,184,84,545,544
43,3006,8,148,2433,573,610,0,0,0,182,592,590
44,3020,11,135,2410,610,662,0,0,162,0,646,608
45,3048,14,135,2336,712,806,0,0,0,0,759,773
46,3042,13,167,2489,553,638,0,0,0,208,590,621
47,3028,18,167,2261,767,883,0,0,0,43,832,852
48,3039,16,137,2341,698,792,0,0,0,0,750,768
49,3005,10,137,2389,616,663,0,0,0,187,651,622
50,3025,8,155,2455,570,616,0,0,152,0,595,580
51,3027,8,155,2485,542,584,0,0,140,82,563,551
52,3047,10,132,2479,568,657,0,0,83,0,600,643
53,3001,10,132,2381,620,681,0,0,159,0,669,612
54,3024,8,186,2485,539,593,0,0,131,92,576,551
55,3034,7,186,2579,455,500,0,0,129,167,469,498
56,3017,19,87,2232,785,884,0,0,0,0,848,832
57,2993,8,143,2395,598,637,0,0,167,0,623,584
58,3036,11,196,2426,610,698,0,0,124,0,644,686
59,2981,10,196,2315,666,725,0,0,115,0,715,655
60,2981,14,167,2216,765,840,0,0,90,0,816,776
61,3034,10,123,2506,528,592,0,0,190,0,558,567
62,3028,12,167,2358,670,767,0,0,87,0,711,736
63,3049,9,152,2498,551,636,0,0,172,0,574,620
64,3015,17,124,2318,697,786,0,0,0,34,742,760
65,3031,15,124,2388,643,711,0,0,0,157,684,674
66,3006,12,124,2306,700,774,0,0,0,116,741,735
67,3002,10,124,2486,516,560,0,0,0,254,550,519
68,3028,5,182,2469,559,613,0,0,112,73,575,601
69,3011,7,182,2522,489,540,0,0,90,202,506,522
70,3033,8,148,2431,602,684,0,0,158,0,641,664
71,2999,11,140,2376,623,681,0,0,93,0,653,640
72,3050,13,160,2340,710,814,0,0,82,0,757,794
73,3005,9,160,2403,602,648,0,0,102,0,628,610
74,2977,13,191,2198,779,858,0,0,0,0,835,784
