partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
0,6048,11,318,4918,1130,1255,0,0,375,0,1165,1158
1,6053,10,244,4931,1122,1267,0,0,129,0,1180,1180
2,5987,11,196,4806,1181,1351,0,0,49,0,1245,1268
3,6047,10,241,5089,958,1105,0,0,225,0,1017,1025
4,6034,7,267,5236,798,885,0,0,215,178,823,838
5,6031,7,253,5340,691,765,0,0,324,205,706,707
6,6030,15,210,5187,843,947,0,0,0,401,886,874
7,6033,10,318,4767,1266,1433,0,0,0,113,1336,1324
8,6041,7,295,5243,798,873,0,0,242,225,823,805
9,6040,6,295,5251,789,862,0,0,267,145,802,799
10,6040,8,175,5229,811,914,0,0,398,0,841,862
11,6048,12,212,4977,1071,1198,0,0,184,0,1126,1110
12,6011,5,296,5354,657,740,0,0,295,189,674,699
13,6064,6,296,5380,684,740,0,0,156,472,706,694
14,5991,9,210,5113,878,999,0,0,343,0,915,926
15,6044,8,263,5234,810,916,0,0,138,278,839,858
16,6057,9,256,5131,926,1036,0,0,258,0,971,952
17,6028,9,256,5079,949,1085,0,0,243,0,982,1008
18,6047,8,174,5228,819,904,0,0,390,0,846,836
19,6046,14,164,4907,1139,1298,0,0,0,0,1187,1205
20,6043,8,334,5214,829,919,0,0,148,331,851,863
21,6045,7,334,5130,915,1001,0,0,367,30,945,918
22,6055,6,242,5264,791,888,0,0,219,131,823,824
23,6043,14,235,4946,1097,1259,0,0,0,239,1159,1179
24,6043,5,253,5397,646,716,0,0,277,257,665,662
25,6056,9,182,5128,928,1043,0,0,195,0,965,966
26,6053,5,253,5441,612,671,0,0,267,460,631,627
27,6047,9,235,5289,758,847,0,0,0,513,782,805
28,6062,7,267,5126,936,1025,0,0,194,179,966,938
29,6032,10,233,5084,948,1057,0,0,357,0,986,979
30,6060,13,184,5000,1060,1211,0,0,0,183,1130,1097
31,6018,5,190,5324,694,784,0,0,270,176,711,731
32,6032,19,152,4740,1292,1478,0,0,0,58,1384,1369
33,6045,9,256,5050,995,1101,0,0,219,0,1029,997
34,6034,10,232,5089,945,1064,0,0,208,0,994,1002
35,6037,10,232,5018,1019,1137,0,0,169,0,1053,1055
36,6030,6,251,5256,774,856,0,0,216,188,786,819
37,6040,8,248,5223,817,887,0,0,213,194,846,809
38,6032,16,258,4966,1066,1223,0,0,0,239,1118,1142
39,6036,12,258,5196,840,926,0,0,0,430,868,846
40,6041,4,248,5383,658,721,0,0,347,166,670,680
41,6055,7,276,5433,622,687,0,0,144,477,646,637
42,6019,11,199,5088,931,1041,0,0,243,0,964,967
43,6046,9,276,5152,894,999,0,0,258,117,931,921
44,6040,7,298,5170,870,987,0,0,319,0,914,909
45,6047,12,298,4933,1114,1270,0,0,200,0,1168,1176
46,6038,8,327,5115,923,1025,0,0,125,332,949,958
47,6046,6,327,5265,781,859,0,0,264,193,802,807
48,6038,9,254,5216,822,914,0,0,137,225,861,845
49,6025,8,199,5189,836,944,0,0,340,0,860,889
50,6031,14,211,4830,1201,1365,0,0,55,0,1273,1271
51,6056,10,235,5110,946,1071,0,0,223,0,991,972
52,6061,8,242,5172,889,1020,0,0,258,0,926,940
53,6030,8,242,5169,861,987,0,0,297,0,888,917
54,6021,8,324,5083,938,1081,0,0,265,0,972,999
55,6040,12,324,4824,1216,1358,0,0,142,0,1269,1228
56,6059,6,314,5346,713,794,0,0,322,200,737,724
57,6045,8,314,5076,969,1092,0,0,102,118,1002,1021
58,6033,10,215,5278,755,856,0,0,0,528,790,795
59,6068,5,215,5561,507,565,0,0,301,404,525,520
60,6014,6,221,5338,676,755,0,0,244,301,700,717
61,6013,8,220,5187,826,910,0,0,338,0,850,858
62,6044,7,221,5117,927,1046,0,0,184,0,966,948
63,6045,15,215,4893,1152,1295,0,0,0,147,1229,1190
