partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
0,1522,7,108,1229,293,338,0,0,155,83,309,333
1,1497,10,108,1131,366,422,0,0,0,124,403,403
2,1499,7,119,1130,369,394,0,0,95,95,391,365
3,1508,7,119,1233,275,297,0,0,0,173,290,282
4,1515,11,114,1114,401,466,0,0,0,86,429,453
5,1510,7,114,1205,305,326,0,0,121,71,319,304
6,1494,12,67,1134,360,406,0,0,82,0,386,386
7,1506,13,83,1065,441,496,0,0,0,0,480,472
8,1492,14,90,1052,440,516,0,0,0,0,494,478
9,1518,11,83,1196,322,371,0,0,0,167,348,357
10,1509,12,96,1071,438,496,0,0,0,34,457,474
11,1514,7,96,1198,316,343,0,0,0,221,326,326
12,1524,12,90,1137,387,451,0,0,0,71,421,433
13,1504,13,94,1103,401,468,0,0,0,0,437,451
14,1505,7,102,1216,289,309,0,0,82,125,307,283
15,1524,10,102,1156,368,409,0,0,95,0,386,398
16,1498,11,98,1130,368,406,0,0,190,0,388,402
17,1519,12,98,1073,446,498,0,0,0,0,473,479
18,1524,12,94,1153,371,430,0,0,92,0,406,408
19,1506,14,81,1067,439,506,0,0,62,0,479,485
20,1523,14,106,1071,452,534,0,0,0,0,501,522
21,1523,16,106,1036,487,572,0,0,0,0,538,545
22,1515,12,98,1102,413,471,0,0,67,0,454,456
23,1503,9,98,1124,379,416,0,0,116,0,411,393
24,1504,11,117,1136,368,406,0,0,126,0,389,396
25,1503,14,117,1044,459,520,0,0,0,0,503,481
26,1511,7,111,1223,288,323,0,0,108,107,302,309
27,1517,8,111,1125,392,451,0,0,0,49,415,433
28,1502,9,71,1126,376,413,0,0,69,0,405,382
29,1517,9,72,1135,382,433,0,0,63,0,413,423
30,1523,7,71,1254,269,302,0,0,77,153,280,296
31,1489,19,61,1064,425,485,0,0,0,95,473,442
32,1503,7,111,1244,259,288,0,0,80,156,273,281
33,1524,10,111,1164,360,407,0,0,75,0,384,404
34,1501,12,106,1144,357,394,0,0,160,0,387,378
35,1510,12,106,1072,438,490,0,0,0,0,478,463
36,1521,18,90,1070,451,512,0,0,0,0,491,482
37,1500,12,73,1116,384,430,0,0,0,68,417,388
38,1502,13,119,1123,379,423,0,0,0,99,404,400
39,1520,13,119,1171,349,416,0,0,0,112,379,403
40,1505,9,102,1188,317,351,0,0,151,90,334,338
41,1521,12,102,1129,392,463,0,0,55,0,426,444
42,1498,11,80,1132,366,409,0,0,0,91,393,372
43,1520,11,97,1122,398,452,0,0,0,30,428,437
44,1513,11,119,1155,358,406,0,0,132,0,387,385
45,1518,10,75,1161,357,403,0,0,117,0,381,377
46,1490,13,119,1044,446,494,0,0,0,0,478,450
47,1515,20,104,1003,512,594,0,0,0,0,554,567
48,1517,9,88,1150,367,427,0,0,77,0,402,417
49,1518,18,80,1073,445,514,0,0,0,0,480,495
50,1499,16,85,1074,425,469,0,0,0,55,457,424
51,1510,17,85,1077,433,512,0,0,0,0,474,493
52,1496,9,92,1136,360,410,0,0,96,0,383,393
53,1524,10,92,1141,383,441,0,0,97,0,406,432
54,1501,17,81,1056,445,498,0,0,0,0,483,466
55,1512,14,81,1071,441,492,0,0,0,0,479,467
56,1509,10,90,1149,360,398,0,0,118,0,382,379
57,1509,12,86,1126,383,418,0,0,64,0,412,392
58,1495,11,90,1031,464,506,0,0,34,0,492,476
59,1508,19,104,1023,485,546,0,0,0,0,538,517
60,1494,10,98,1110,384,424,0,0,102,0,418,401
61,1519,17,98,1044,475,552,0,0,0,0,519,532
62,1514,9,106,1165,349,399,0,0,149,0,371,394
63,1524,16,106,1081,443,510,0,0,0,0,488,496
