partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
0,124443,11,1892,117710,6733,8463,0,0,0,1813
1,124453,11,2389,116981,7472,9303,0,0,0,1699
2,124401,17,2389,115237,9164,11836,0,0,0,148
3,124481,14,1748,116593,7888,10180,0,0,0,1216
4,124556,13,2260,115423,9133,11810,0,0,0,0
5,124556,20,2260,114582,9974,12582,0,0,0,0
6,124485,18,2127,115552,8933,11664,0,0,0,0
7,124385,13,2127,116766,7619,9767,0,0,0,1121
8,124572,12,1358,117703,6869,8932,0,0,0,2314
9,124468,16,1914,115886,8582,11558,0,0,0,0
10,124441,9,1537,117767,6674,8611,0,0,0,1637
11,124385,14,1537,115955,8430,10846,0,0,0,0
12,124465,17,1454,115517,8948,11504,0,0,0,0
13,124365,17,1789,115570,8795,11294,0,0,0,0
14,124395,17,1789,115498,8897,11842,0,0,0,0
15,124562,13,2402,115923,8639,11115,0,0,0,947
16,124575,14,2156,115915,8660,11282,0,0,0,0
17,124462,11,2156,117463,6999,9568,0,0,0,1668
18,124422,15,1533,115917,8505,10932,0,0,0,0
19,124466,16,2239,116157,8309,11402,0,0,0,0
20,124489,16,2239,115639,8850,11768,0,0,0,0
21,124440,10,2402,117561,6879,8875,0,0,0,1551
22,124372,13,2057,116147,8225,10763,0,0,0,933
23,124474,13,1888,116431,8043,10328,0,0,0,628
24,124403,9,1130,118600,5803,6968,0,0,5376,0
25,124431,9,1095,118819,5612,6512,0,0,6530,0
26,124424,9,1205,118258,6166,7386,0,0,5672,0
27,124386,11,2285,117598,6788,8101,0,0,5305,0
28,124542,12,1868,117080,7462,9065,0,0,3857,0
29,124352,10,1600,117397,6955,8385,0,0,4421,0
30,124444,13,1424,116268,8176,10570,0,0,0,0
31,124445,16,1713,115758,8687,11552,0,0,0,0
32,124504,15,1575,115855,8649,11146,0,0,0,0
33,124413,20,1488,115142,9271,11872,0,0,0,0
34,124336,19,2052,115692,8644,10982,0,0,0,0
35,124366,15,2052,115730,8636,11076,0,0,0,0
36,124332,15,1530,115516,8816,11400,0,0,0,0
37,124408,18,1971,115399,9009,11746,0,0,0,0
38,124416,17,1971,115282,9134,11956,0,0,0,0
39,124357,9,1426,118694,5663,6697,0,0,5869,0
40,124459,10,1977,118109,6350,7599,0,0,5587,0
41,124371,15,1977,115684,8687,10971,0,0,913,0
42,124523,9,1342,118599,5924,7043,0,0,5353,0
43,124362,18,1806,115641,8721,11282,0,0,0,0
44,124469,10,1310,118279,6190,7244,0,0,6190,0
45,124350,17,1454,115917,8433,11110,0,0,0,0
46,124535,9,1342,118803,5732,6676,0,0,6134,0
47,124398,11,1539,118064,6334,7538,0,0,4908,0
48,124538,13,2285,116540,7998,10037,0,0,2887,0
