partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
0,762,12,48,548,214,248,0,0,0,78,232,241
1,754,9,47,538,216,243,0,0,60,37,232,228
2,762,12,54,531,231,274,0,0,56,0,250,260
3,757,5,54,568,189,214,0,0,37,55,204,204
4,754,11,65,484,270,302,0,0,0,0,293,281
5,757,11,65,544,213,257,0,0,0,105,238,246
6,753,7,81,564,189,204,0,0,69,109,200,189
7,755,8,81,526,229,254,0,0,0,56,244,243
8,762,14,74,496,266,326,0,0,0,0,300,308
9,763,9,74,534,229,272,0,0,94,0,253,258
10,751,10,51,481,270,317,0,0,43,0,297,285
11,749,16,56,456,293,348,0,0,0,0,334,318
12,758,8,69,562,196,219,0,0,99,60,209,209
13,759,10,69,540,219,244,0,0,0,88,234,230
14,748,12,64,478,270,322,0,0,0,0,303,303
15,752,12,53,500,252,297,0,0,33,0,277,276
16,761,9,62,532,229,274,0,0,86,0,248,259
17,753,10,72,536,217,248,0,0,98,0,233,239
18,749,14,63,465,284,320,0,0,0,0,310,306
19,762,17,72,482,280,346,0,0,0,0,319,341
20,742,16,73,459,283,322,0,0,0,0,314,301
21,759,14,73,518,241,289,0,0,105,0,270,280
22,751,13,62,453,298,347,0,0,9,0,332,318
23,762,14,52,472,290,342,0,0,0,0,325,328
24,757,13,63,487,270,315,0,0,0,29,305,301
25,748,11,59,490,258,280,0,0,0,34,276,266
26,756,16,59,475,281,330,0,0,0,0,318,317
27,761,10,48,542,219,253,0,0,0,101,237,246
28,762,8,70,588,174,201,0,0,59,54,191,189
29,745,14,70,462,283,306,0,0,20,0,299,284
30,760,10,56,561,199,222,0,0,0,70,217,219
31,756,10,56,533,223,261,0,0,66,29,241,254
32,757,12,43,542,215,243,0,0,97,0,226,232
33,750,13,62,469,281,336,0,0,0,0,323,317
34,762,8,72,528,234,263,0,0,0,39,248,249
35,748,6,72,576,172,198,0,0,75,65,187,190
36,762,11,63,514,248,293,0,0,0,49,271,286
37,750,13,63,485,265,304,0,0,0,0,292,286
38,746,11,44,517,229,268,0,0,60,0,259,247
39,761,6,49,599,162,188,0,0,54,64,175,176
40,762,18,79,453,309,358,0,0,0,0,343,338
41,758,11,79,524,234,269,0,0,87,0,251,254
42,740,10,57,494,246,291,0,0,41,0,272,258
43,762,10,57,548,214,246,0,0,48,0,229,232
44,755,10,65,536,219,241,0,0,91,0,239,232
45,761,13,65,509,252,290,0,0,0,0,273,283
46,749,14,64,501,248,294,0,0,0,0,272,280
47,762,16,64,467,295,352,0,0,30,0,331,333
48,756,6,70,593,163,190,0,0,0,124,174,187
49,755,12,54,498,257,287,0,0,0,59,275,265
50,749,9,70,530,219,250,0,0,0,84,235,235
51,762,11,62,537,225,267,0,0,0,77,249,264
52,748,14,62,457,291,340,0,0,0,42,319,322
53,758,18,62,487,271,326,0,0,0,0,312,308
54,754,10,55,520,234,261,0,0,0,57,248,236
55,748,14,44,486,262,304,0,0,0,0,295,289
56,760,16,63,472,288,356,0,0,0,0,334,341
57,750,18,63,462,288,328,0,0,0,0,318,311
58,761,16,68,479,282,342,0,0,0,0,315,329
59,751,11,68,519,232,270,0,0,0,74,257,251
60,754,15,68,477,277,338,0,0,0,0,315,331
61,754,13,52,476,278,318,0,0,0,0,311,297
62,759,14,57,524,235,271,0,0,0,55,260,258
63,754,18,57,487,267,330,0,0,0,0,306,314
64,754,17,54,470,284,328,0,0,0,0,318,310
65,752,14,54,500,252,285,0,0,71,0,274,272
66,752,12,59,513,239,271,0,0,51,0,262,255
67,760,11,59,502,258,301,0,0,67,0,285,287
68,761,11,56,531,230,271,0,0,89,0,259,260
69,752,15,56,459,293,348,0,0,0,0,330,335
70,757,18,80,444,313,378,0,0,0,0,348,366
71,747,12,55,472,275,308,0,0,0,0,298,293
72,758,20,62,478,280,348,0,0,0,0,328,342
73,750,13,62,462,288,312,0,0,0,0,309,295
74,754,13,51,481,273,318,0,0,18,0,307,294
75,756,10,56,521,235,270,0,0,42,0,253,266
76,756,17,54,459,297,356,0,0,0,0,344,327
77,753,14,48,478,275,322,0,0,0,0,305,300
78,757,17,47,465,292,344,0,0,0,0,330,326
79,756,17,47,460,296,354,0,0,0,0,337,340
80,761,14,47,495,266,320,0,0,0,0,295,312
81,760,10,49,520,240,283,0,0,49,0,271,264
82,762,16,68,472,290,336,0,0,0,0,322,320
83,759,10,49,523,236,272,0,0,46,0,261,259
84,761,10,63,530,231,282,0,0,68,0,256,270
85,752,9,63,529,223,252,0,0,48,0,241,234
86,747,17,62,492,255,304,0,0,0,0,289,284
87,754,17,62,458,296,330,0,0,0,0,317,312
88,756,17,58,483,273,326,0,0,0,0,307,313
89,746,14,66,476,270,318,0,0,0,0,295,293
90,748,12,47,520,228,262,0,0,58,0,254,244
91,760,8,66,549,211,241,0,0,85,0,230,228
92,761,13,49,511,250,274,0,0,0,0,264,267
93,748,10,50,509,239,270,0,0,76,0,259,251
94,760,13,51,507,253,299,0,0,59,0,285,278
95,755,12,68,501,254,304,0,0,0,0,286,282
96,754,11,63,507,247,292,0,0,0,44,270,280
97,747,13,61,448,299,330,0,0,0,14,323,306
98,760,6,61,580,180,206,0,0,58,38,186,193
99,758,8,54,553,205,232,0,0,75,41,219,225
100,751,8,64,541,210,249,0,0,56,27,228,230
101,756,7,64,568,188,212,0,0,51,45,204,193
102,763,9,47,530,233,261,0,0,0,69,252,248
103,763,13,57,469,294,342,0,0,0,0,319,334
104,758,9,44,538,220,247,0,0,0,79,233,242
105,761,16,54,477,284,332,0,0,0,22,314,325
106,762,12,52,533,229,270,0,0,0,56,256,264
107,755,16,58,485,270,304,0,0,0,0,293,294
108,757,6,85,572,185,209,0,0,67,74,192,207
109,759,12,85,509,250,289,0,0,19,18,274,278
110,751,15,45,455,296,340,0,0,0,0,327,318
111,747,10,47,526,221,243,0,0,0,69,235,226
112,752,12,63,509,243,283,0,0,67,0,270,269
113,757,13,58,504,253,290,0,0,98,0,274,284
114,762,15,83,450,312,370,0,0,0,0,341,356
115,756,10,66,476,280,322,0,0,0,0,312,301
116,761,10,62,504,257,290,0,0,30,0,279,287
117,755,9,62,521,234,265,0,0,57,0,253,259
118,758,13,56,486,272,308,0,0,0,0,300,291
119,754,21,56,457,297,336,0,0,0,0,323,321
120,755,11,52,528,227,274,0,0,66,0,252,264
121,748,10,69,497,251,284,0,0,56,0,272,269
122,755,12,58,488,267,312,0,0,0,0,290,303
123,762,15,69,480,282,342,0,0,0,0,322,327
124,754,16,57,459,295,344,0,0,0,0,328,317
125,762,10,54,550,212,246,0,0,80,0,236,231
126,755,12,69,532,223,258,0,0,106,0,248,243
127,754,16,69,492,262,306,0,0,0,0,293,295
128,762,11,77,526,236,282,0,0,72,0,259,271
129,756,11,77,494,262,310,0,0,44,18,292,294
130,749,10,57,512,237,278,0,0,0,52,266,253
131,755,6,57,593,162,178,0,0,53,73,171,168
132,754,9,70,553,201,234,0,0,112,38,218,229
133,751,8,70,515,236,262,0,0,0,42,252,250
134,749,13,53,507,242,286,0,0,0,40,280,266
135,762,13,61,480,282,330,0,0,0,0,309,317
