-60000 -60000 -5052.73
-59250 -60000 -5039.71
-58500 -60000 -5004.12
-57750 -60000 -4952.25
-57000 -60000 -4903.19
-56250 -60000 -4872.14
-55500 -60000 -4857.26
-54750 -60000 -4841.04
-54000 -60000 -4802.92
-53250 -60000 -4731.43
-52500 -60000 -4627.72
-51750 -60000 -4500.84
-51000 -60000 -4361.64
-50250 -60000 -4220.05
-49500 -60000 -4084.87
-48750 -60000 -3962.46
-48000 -60000 -3854.37
-47250 -60000 -3756.28
-46500 -60000 -3659.13
-45750 -60000 -3551.58
-45000 -60000 -3423.98
-44250 -60000 -3273.99
-43500 -60000 -3109.55
-42750 -60000 -2943.94
-42000 -60000 -2785.41
-41250 -60000 -2631.1
-40500 -60000 -2471.47
-39750 -60000 -2301.08
-39000 -60000 -2125.84
-38250 -60000 -1961.61
-37500 -60000 -1826.05
-36750 -60000 -1730.19
-36000 -60000 -1675.32
-35250 -60000 -1655.16
-34500 -60000 -1659.57
-33750 -60000 -1677.09
-33000 -60000 -1698.61
-32250 -60000 -1721.58
-31500 -60000 -1749.09
-30750 -60000 -1781.33
-30000 -60000 -1808.52
-29250 -60000 -1814.89
-28500 -60000 -1789.73
-27750 -60000 -1733.04
-27000 -60000 -1653.24
-26250 -60000 -1563.87
-25500 -60000 -1480.7
-24750 -60000 -1413.93
-24000 -60000 -1360.16
-23250 -60000 -1306.84
-22500 -60000 -1247.46
-21750 -60000 -1186.96
-21000 -60000 -1128.23
-20250 -60000 -1059.66
-19500 -60000 -964.489
-18750 -60000 -840.556
-18000 -60000 -703.218
-17250 -60000 -568.178
-16500 -60000 -438.608
-15750 -60000 -311.295
-15000 -60000 -188.61
-14250 -60000 -78.9776
-13500 -60000 11.2194
-12750 -60000 80.9102
-12000 -60000 130.662
-11250 -60000 160.658
-10500 -60000 173.869
-9750 -60000 178.726
-9000 -60000 186.234
-8250 -60000 203.34
-7500 -60000 227.85
-6750 -60000 248.776
-6000 -60000 252.535
-5250 -60000 231.077
-4500 -60000 185.695
-3750 -60000 123.716
-3000 -60000 51.7992
-2250 -60000 -28.9668
-1500 -60000 -125.432
-750 -60000 -253.08
0 -60000 -431.571
750 -60000 -671.204
1500 -60000 -957.081
2250 -60000 -1247.88
3000 -60000 -1497.18
3750 -60000 -1681.62
4500 -60000 -1809.83
5250 -60000 -1906.03
6000 -60000 -1989
6750 -60000 -2067.4
7500 -60000 -2147.42
8250 -60000 -2234.46
9000 -60000 -2325.97
9750 -60000 -2410.53
10500 -60000 -2480.3
11250 -60000 -2542.36
12000 -60000 -2613.73
12750 -60000 -2705.67
13500 -60000 -2814.82
14250 -60000 -2927.61
15000 -60000 -3030.05
15750 -60000 -3115.49
16500 -60000 -3188.26
17250 -60000 -3260.55
18000 -60000 -3341.64
18750 -60000 -3428.57
19500 -60000 -3510.19
20250 -60000 -3581.3
21000 -60000 -3649.05
21750 -60000 -3722.6
22500 -60000 -3799.57
23250 -60000 -3866.2
24000 -60000 -3909.74
24750 -60000 -3927.71
25500 -60000 -3926.7
26250 -60000 -3917.12
27000 -60000 -3910.88
27750 -60000 -3920.22
28500 -60000 -3954.19
29250 -60000 -4014.16
30000 -60000 -4092.5
30750 -60000 -4175.52
31500 -60000 -4249.67
32250 -60000 -4308.54
33000 -60000 -4356.72
33750 -60000 -4406.15
34500 -60000 -4466.86
35250 -60000 -4539.73
36000 -60000 -4617.11
36750 -60000 -4687.91
37500 -60000 -4740.57
38250 -60000 -4763.58
39000 -60000 -4748.52
39750 -60000 -4696.27
40500 -60000 -4619.88
41250 -60000 -4539.74
42000 -60000 -4474.53
42750 -60000 -4435.06
43500 -60000 -4421.76
44250 -60000 -4423.68
45000 -60000 -4419.31
45750 -60000 -4382.99
46500 -60000 -4295.5
47250 -60000 -4151.14
48000 -60000 -3956.16
48750 -60000 -3722.94
49500 -60000 -3467.03
50250 -60000 -3206.89
51000 -60000 -2959.77
51750 -60000 -2732.37
52500 -60000 -2515.19
53250 -60000 -2289.51
54000 -60000 -2042.53
54750 -60000 -1776.33
55500 -60000 -1502.19
56250 -60000 -1228.15
57000 -60000 -953.887
57750 -60000 -676.523
58500 -60000 -397.703
59250 -60000 -123.305
60000 -60000 141.844
-60000 -58500 -4914.47
-59250 -58500 -4898.8
-58500 -58500 -4865.02
-57750 -58500 -4817.59
-57000 -58500 -4773.32
-56250 -58500 -4746.83
-55500 -58500 -4736.56
-54750 -58500 -4724.13
-54000 -58500 -4687.62
-53250 -58500 -4616.51
-52500 -58500 -4515.78
-51750 -58500 -4398.16
-51000 -58500 -4274.72
-50250 -58500 -4152.66
-49500 -58500 -4038.15
-48750 -58500 -3936.67
-48000 -58500 -3849.63
-47250 -58500 -3772.12
-46500 -58500 -3694.3
-45750 -58500 -3603.97
-45000 -58500 -3489.55
-44250 -58500 -3345.41
-43500 -58500 -3177.07
-42750 -58500 -2998.92
-42000 -58500 -2823.38
-41250 -58500 -2651.26
-40500 -58500 -2473.94
-39750 -58500 -2285.53
-39000 -58500 -2093.08
-38250 -58500 -1915.4
-37500 -58500 -1772.02
-36750 -58500 -1672.07
-36000 -58500 -1611.79
-35250 -58500 -1580.56
-34500 -58500 -1567.91
-33750 -58500 -1566.11
-33000 -58500 -1570.41
-32250 -58500 -1580.36
-31500 -58500 -1598.84
-30750 -58500 -1625.55
-30000 -58500 -1650.74
-29250 -58500 -1658.27
-28500 -58500 -1635.78
-27750 -58500 -1580.87
-27000 -58500 -1499.39
-26250 -58500 -1402.82
-25500 -58500 -1306.75
-24750 -58500 -1225.03
