time_iso8601,stars_cumulative
2023-04-24 00:00:00+00:00,185
2023-04-26 00:00:00+00:00,186
2023-05-03 00:00:00+00:00,187
2023-05-23 00:00:00+00:00,188
2023-06-03 00:00:00+00:00,189
2023-06-04 00:00:00+00:00,191
2023-06-15 00:00:00+00:00,193
2023-06-16 00:00:00+00:00,194
2023-06-29 00:00:00+00:00,195
2023-07-19 00:00:00+00:00,196
2023-07-25 00:00:00+00:00,198
2023-08-01 00:00:00+00:00,199
2023-08-03 00:00:00+00:00,200
2023-08-10 00:00:00+00:00,201
2023-08-21 00:00:00+00:00,202
2023-08-31 00:00:00+00:00,203
2023-09-06 00:00:00+00:00,204
2023-09-26 00:00:00+00:00,205
2023-10-17 00:00:00+00:00,206
2023-10-25 00:00:00+00:00,207
2023-11-19 00:00:00+00:00,208
2023-11-30 00:00:00+00:00,209
2023-12-03 00:00:00+00:00,213
2023-12-05 00:00:00+00:00,215
2023-12-06 00:00:00+00:00,216
2023-12-07 00:00:00+00:00,217
2023-12-12 00:00:00+00:00,218
2023-12-21 00:00:00+00:00,219
2023-12-23 00:00:00+00:00,220
2023-12-25 00:00:00+00:00,221
2024-01-02 00:00:00+00:00,222
2024-01-05 00:00:00+00:00,223
2024-01-23 00:00:00+00:00,224
2024-01-29 00:00:00+00:00,225
2024-02-06 00:00:00+00:00,226
2024-02-07 00:00:00+00:00,227
2024-02-08 00:00:00+00:00,228
2024-02-09 00:00:00+00:00,229
2024-02-16 00:00:00+00:00,230
2024-03-04 00:00:00+00:00,232
2024-03-05 00:00:00+00:00,233
2024-03-15 00:00:00+00:00,234
2024-03-24 00:00:00+00:00,235
2024-03-26 00:00:00+00:00,236
2024-04-02 00:00:00+00:00,237
2024-04-07 00:00:00+00:00,238
2024-04-08 00:00:00+00:00,239
2024-04-10 00:00:00+00:00,240
2024-04-13 00:00:00+00:00,241
2024-04-28 00:00:00+00:00,242
2024-05-04 00:00:00+00:00,244
2024-05-12 00:00:00+00:00,245
2024-05-22 00:00:00+00:00,246
2024-05-25 00:00:00+00:00,247
2024-06-04 00:00:00+00:00,249
2024-06-14 00:00:00+00:00,250
2024-07-18 00:00:00+00:00,251
2024-07-30 00:00:00+00:00,252
2024-07-31 00:00:00+00:00,253
2024-08-06 00:00:00+00:00,255
2024-08-11 00:00:00+00:00,256
2024-09-05 00:00:00+00:00,258
2024-09-09 00:00:00+00:00,259
2024-09-18 00:00:00+00:00,260
2024-10-01 00:00:00+00:00,261
