partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank),interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
6106,20835,17,481,18387,2448,3214,0,0,0,0
6107,20656,15,481,18010,2646,3456,0,0,0,0
6108,20613,18,647,17869,2744,3324,0,0,0,0
6109,20717,13,443,18222,2495,3108,0,0,0,0
6110,20944,15,443,18496,2448,3274,0,0,0,0
6111,20827,15,595,18417,2410,3038,0,0,0,0
6112,20810,12,442,18351,2459,3184,0,0,0,0
6113,20680,12,647,18242,2438,3048,0,0,0,0
6114,20748,19,515,18315,2433,3194,0,0,0,0
6115,20878,16,595,18585,2293,3084,0,0,0,0
6116,20831,17,619,18281,2550,3264,0,0,0,0
6117,20680,19,619,17943,2737,3444,0,0,0,0
6118,20719,17,507,18129,2590,3170,0,0,0,0
6119,20808,12,570,18457,2351,2958,0,0,0,0
6120,20749,17,528,18212,2537,3210,0,0,0,0
6121,20692,16,528,17859,2833,3478,0,0,0,0
6122,20679,15,512,18244,2435,3076,0,0,0,0
6123,20779,15,455,18294,2485,3156,0,0,0,0
6124,20586,16,522,18066,2520,3172,0,0,0,0
6125,20636,17,403,18175,2461,3066,0,0,0,0
6126,20718,16,574,17971,2747,3448,0,0,0,0
6127,20841,17,522,18209,2632,3346,0,0,0,0
6128,20734,16,522,18428,2306,2910,0,0,0,0
6129,20755,15,553,18212,2543,3302,0,0,0,0
6130,20820,14,553,18455,2365,3044,0,0,0,0
6131,20878,16,498,18431,2447,3210,0,0,0,0
6132,20736,14,536,18339,2397,3092,0,0,0,0
6133,20824,15,659,18450,2374,3062,0,0,0,0
6134,20717,17,659,18119,2598,3342,0,0,0,0
6135,20712,18,544,18088,2624,3358,0,0,0,0
6136,20723,14,544,18355,2368,3064,0,0,0,0
6137,20707,15,343,18255,2452,3114,0,0,0,0
6138,20820,16,526,18270,2550,3360,0,0,0,0
6139,20690,17,460,18140,2550,3214,0,0,0,0
6140,20806,12,684,18263,2543,3236,0,0,0,0
6141,20656,15,684,18106,2550,3260,0,0,0,0
6142,20679,13,456,18347,2332,2950,0,0,0,0
6143,20818,16,456,18296,2522,3160,0,0,0,0
6144,20771,16,430,18302,2469,3106,0,0,0,0
6145,20823,16,454,18394,2429,3104,0,0,0,0
6146,20746,13,402,18448,2298,2892,0,0,0,0
6147,20765,16,614,18181,2584,3284,0,0,0,0
6148,20811,19,614,18277,2534,3298,0,0,0,0
6149,20716,15,560,18217,2499,3186,0,0,0,0
6150,20641,15,436,18208,2433,3194,0,0,0,0
6151,20885,14,713,18521,2364,3106,0,0,0,0
6152,20572,14,713,17894,2678,3312,0,0,0,0
