Mon Apr 21 16:24:44, Info:  Using 1 threads 
Mon Apr 21 16:24:45, Info:  Mesh contains 12288 partitions 
Mon Apr 21 16:24:45, Info:  Min number of elements per partition: 14537 
Mon Apr 21 16:24:45, Info:  Avg number of elements per partition 15551.6 
Mon Apr 21 16:24:45, Info:  Max number of elements per partition 15715 
Mon Apr 21 16:24:45, Info:  Min number of MPI boundaries per partition: 3 
Mon Apr 21 16:24:45, Info:  Avg number of MPI boundaries per partition 13.7417 
Mon Apr 21 16:24:45, Info:  Max number of MPI boundaries per partition 34 
Mon Apr 21 16:24:45, Info:  Min number of MPI boundary faces per partition: 907 
Mon Apr 21 16:24:45, Info:  Avg number of MPI boundary faces per partition 2322.12 
Mon Apr 21 16:24:45, Info:  Max number of MPI boundary faces per partition 3252 
Mon Apr 21 16:24:45, Info:  printing statistics per partition. 
Mon Apr 21 16:24:45, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
100,14537,7,376,13198,1339,1581,0,0,945,0
101,15551,8,512,14129,1422,1609,0,0,941,0
102,15488,9,441,14071,1417,1566,0,0,988,0
103,15566,10,463,13816,1750,1972,0,0,686,0
104,15471,8,537,13994,1477,1630,0,0,938,0
105,15554,10,451,14046,1508,1705,0,0,729,0
106,15511,10,391,13949,1562,1725,0,0,807,0
107,15477,10,451,14095,1382,1530,0,0,986,0
108,15520,17,431,13420,2100,2666,0,0,0,0
109,15459,19,431,13276,2183,2796,0,0,0,0
110,15434,15,422,13301,2133,2536,0,0,0,0
111,15706,17,361,13679,2027,2626,0,0,0,0
112,15621,21,426,13537,2084,2650,0,0,0,0
113,15570,14,426,13659,1911,2482,0,0,0,0
114,15546,15,548,13391,2155,2752,0,0,0,0
115,15487,18,469,13391,2096,2588,0,0,0,0
116,15707,20,548,13635,2072,2764,0,0,0,0
117,15614,18,403,13646,1968,2516,0,0,0,0
118,15540,14,340,13643,1897,2402,0,0,0,0
119,15490,22,314,13432,2058,2530,0,0,0,0
120,15530,16,544,13464,2066,2708,0,0,0,0
121,15569,12,410,13608,1961,2518,0,0,0,0
122,15548,17,386,13401,2147,2818,0,0,0,0
123,15482,14,501,13499,1983,2608,0,0,0,0
124,15628,15,344,13703,1925,2514,0,0,0,0
125,15571,13,544,13572,1999,2536,0,0,0,0
126,15589,17,495,13482,2107,2698,0,0,0,0
127,15659,16,531,13677,1982,2564,0,0,0,0
128,15476,16,495,13378,2098,2672,0,0,0,0
129,15522,18,438,13539,1983,2558,0,0,0,0
130,15463,17,491,13461,2002,2574,0,0,0,0
131,15647,14,491,13690,1957,2576,0,0,0,0
132,15560,16,576,13383,2177,2750,0,0,0,0
133,15539,15,369,13599,1940,2502,0,0,0,0
134,15506,14,390,13539,1967,2458,0,0,0,0
135,15567,17,369,13502,2065,2644,0,0,0,0
136,15550,14,576,13544,2006,2580,0,0,0,0
137,15579,15,467,13486,2093,2738,0,0,0,0
138,15494,15,409,13381,2113,2744,0,0,0,0
139,15568,13,580,13568,2000,2548,0,0,0,0
140,15526,15,580,13333,2193,2836,0,0,0,0
141,15555,16,461,13531,2024,2628,0,0,0,0
142,15556,15,397,13489,2067,2662,0,0,0,0
143,15546,16,397,13640,1906,2504,0,0,0,0
144,15609,6,413,14335,1274,1423,0,0,949,0
145,15532,10,368,13927,1605,1800,0,0,712,0
146,15507,9,377,14061,1446,1573,0,0,875,0
147,15532,12,368,13940,1592,1836,0,0,776,0
148,15488,14,574,13577,1911,2174,0,0,614,0
149,15572,6,574,14192,1380,1525,0,0,1085,0
150,15498,18,403,13504,1994,2398,0,0,0,0
151,15549,9,465,14155,1394,1524,0,0,978,0
152,15592,12,465,13912,1680,1933,0,0,633,0
153,15522,7,387,14225,1297,1411,0,0,971,0
154,15646,8,392,14237,1409,1605,0,0,963,0
155,15536,9,392,14100,1436,1617,0,0,919,0
156,15517,18,362,13522,1995,2474,0,0,0,0
157,15510,21,425,13407,2103,2738,0,0,0,0
158,15560,16,425,13474,2086,2666,0,0,0,0
159,15668,15,346,13736,1932,2520,0,0,0,0
160,15439,19,470,13349,2090,2662,0,0,0,0
161,15558,14,482,13556,2002,2636,0,0,0,0
162,15431,18,346,13404,2027,2450,0,0,0,0
163,15512,10,298,14058,1454,1616,0,0,1008,0
164,15521,10,365,13978,1543,1734,0,0,834,0
165,15626,10,377,14038,1588,1764,0,0,732,0
166,15640,14,403,13743,1897,2282,0,0,546,0
167,15499,10,461,13957,1542,1663,0,0,841,0
168,15577,9,380,14280,1297,1414,0,0,946,0
169,15594,15,377,13688,1906,2454,0,0,0,0
170,15608,14,449,13541,2067,2467,0,0,527,0
171,15528,10,358,14008,1520,1658,0,0,800,0
172,15569,8,300,14227,1342,1487,0,0,949,0
173,15484,6,449,14130,1354,1473,0,0,1001,0
174,15595,13,461,13875,1720,1974,0,0,674,0
175,15500,15,351,13415,2085,2436,0,0,602,0
176,15492,7,351,14195,1297,1412,0,0,950,0
177,15573,9,356,14230,1343,1497,0,0,1005,0
178,15585,13,356,13933,1652,1877,0,0,685,0
179,15489,8,413,14012,1477,1609,0,0,863,0
180,15548,17,442,13574,1974,2604,0,0,0,0
181,15663,19,314,13608,2055,2688,0,0,0,0
182,15628,16,333,13620,2008,2562,0,0,0,0
183,15561,19,482,13426,2135,2740,0,0,0,0
184,15567,15,522,13527,2040,2580,0,0,0,0
185,15472,19,522,13359,2113,2650,0,0,0,0
186,15475,19,432,13437,2038,2528,0,0,0,0
187,15609,8,391,14304,1305,1474,0,0,850,0
188,15505,8,355,14116,1389,1531,0,0,1075,0
189,15548,10,391,14076,1472,1593,0,0,1103,0
190,15576,17,564,13611,1965,2482,0,0,0,0
191,15507,18,564,13264,2243,2842,0,0,0,0
192,15535,14,379,13536,1999,2578,0,0,0,0
193,15602,12,474,13587,2015,2616,0,0,0,0
194,15444,16,460,13340,2104,2572,0,0,0,0
195,15400,18,474,13067,2333,2996,0,0,0,0
196,15634,13,480,13930,1704,2188,0,0,0,312
197,15550,11,480,13831,1719,2226,0,0,0,382
198,15454,12,331,13644,1810,2312,0,0,0,130
199,15497,20,348,13394,2103,2696,0,0,0,0
200,15508,19,404,13520,1988,2578,0,0,0,0
201,15520,9,321,14252,1268,1431,0,0,1105,0
202,15422,9,385,13884,1538,1715,0,0,719,0
203,15560,9,341,14118,1442,1632,0,0,820,0
204,15527,9,355,14089,1438,1608,0,0,846,0
205,15581,13,493,13721,1860,2240,0,0,151,455
206,15472,6,493,14280,1192,1321,0,0,1000,259
207,15515,9,396,14093,1422,1583,0,0,885,0
208,15402,8,467,13865,1537,1714,0,0,694,0
209,15430,13,478,13429,2001,2279,0,0,585,0
210,15460,9,364,13831,1629,1819,0,0,645,0
211,15421,9,238,14217,1204,1313,0,0,963,0
212,15561,12,364,14142,1419,1599,0,0,937,0
213,15527,5,376,14439,1088,1218,0,0,775,301
214,15368,13,378,13276,2092,2427,0,0,99,304
215,15490,5,378,14433,1057,1167,0,0,860,393
216,15578,17,381,13483,2095,2656,0,0,0,0
217,15465,18,310,13474,1991,2456,0,0,0,0
218,15580,17,434,13756,1824,2347,0,0,0,187
219,15531,16,315,13604,1927,2454,0,0,0,0
220,15445,10,468,13798,1647,2043,0,0,0,363
221,15626,14,468,13718,1908,2417,0,0,0,233
222,15542,13,454,13479,2063,2668,0,0,0,0
223,15521,12,601,13590,1931,2477,0,0,0,223
224,15585,12,601,13881,1704,2136,0,0,0,512
225,15532,10,353,13883,1649,2085,0,0,0,349
226,15546,12,383,13797,1749,2231,0,0,0,201
227,15539,18,454,13504,2035,2652,0,0,0,0
228,15582,10,262,14221,1361,1538,0,0,958,0
229,15486,12,489,13997,1489,1676,0,0,758,0
230,15492,9,489,14026,1466,1643,0,0,927,0
231,15570,12,478,14082,1488,1712,0,0,968,0
232,15486,5,520,14293,1193,1299,0,0,1003,0
233,15655,16,520,13455,2200,2607,0,0,355,0
234,15564,12,316,13934,1630,1860,0,0,682,0
235,15558,6,377,14309,1249,1381,0,0,813,0
236,15431,6,377,14254,1177,1279,0,0,745,490
237,15475,7,347,14405,1070,1200,0,0,611,563
238,15428,8,355,13976,1452,1559,0,0,879,0
239,15419,7,347,14093,1326,1444,0,0,856,0
240,15591,15,318,13676,1915,2504,0,0,0,0
241,15536,15,462,13536,2000,2596,0,0,0,0
242,15563,16,462,13521,2042,2682,0,0,0,0
243,15594,16,442,13558,2036,2602,0,0,0,0
244,15520,15,442,13462,2058,2592,0,0,0,0
245,15497,16,413,13483,2014,2536,0,0,0,0
246,15565,15,317,13544,2021,2638,0,0,0,0
247,15546,16,437,13508,2038,2532,0,0,0,0
248,15540,16,437,13444,2096,2628,0,0,0,0
249,15546,17,319,13614,1932,2490,0,0,0,0
250,15534,12,597,13492,2042,2636,0,0,0,0
251,15555,14,597,13505,2050,2606,0,0,0,0
252,15558,15,274,13497,2061,2634,0,0,0,0
253,15565,16,480,13556,2009,2622,0,0,0,0
254,15559,15,480,13558,2001,2590,0,0,0,0
255,15532,17,344,13432,2100,2658,0,0,0,0
256,15579,16,455,13565,2014,2622,0,0,0,0
257,15580,15,455,13606,1974,2546,0,0,0,0
258,15579,18,517,13486,2093,2670,0,0,0,0
259,15534,16,455,13486,2048,2588,0,0,0,0
260,15416,21,393,13232,2184,2808,0,0,0,0
261,15647,14,509,13663,1984,2554,0,0,0,0
262,15530,14,517,13451,2079,2684,0,0,0,0
263,15627,15,412,13593,2034,2608,0,0,0,0
264,15594,18,373,13594,2000,2554,0,0,0,0
265,15523,11,338,14197,1326,1482,0,0,942,0
266,15499,12,338,14107,1392,1515,0,0,967,0
267,15625,19,358,13628,1997,2492,0,0,0,0
268,15514,9,435,14011,1503,1714,0,0,982,0
269,15472,8,435,14024,1448,1576,0,0,1000,0
270,15505,17,336,13560,1945,2518,0,0,0,0
271,15586,14,459,13637,1949,2270,0,0,676,0
272,15464,11,459,13995,1469,1621,0,0,733,0
273,15537,9,385,14181,1356,1484,0,0,1022,0
274,15464,10,341,14014,1450,1626,0,0,900,0
275,15474,8,401,14084,1390,1514,0,0,830,0
276,15422,18,433,13326,2096,2556,0,0,0,0
277,15568,19,406,13503,2065,2614,0,0,0,0
278,15507,15,406,13511,1996,2510,0,0,0,0
279,15461,9,348,13955,1506,1649,0,0,1021,0
280,15473,11,344,14118,1355,1496,0,0,1130,0
281,15550,8,344,14106,1444,1629,0,0,905,0
282,15064,11,346,13570,1494,1750,0,0,828,0
283,15462,10,398,13775,1687,1950,0,0,744,0
284,15379,8,388,14002,1377,1559,0,0,975,0
285,15533,9,415,14158,1375,1523,0,0,933,0
286,15486,9,399,14064,1422,1608,0,0,786,0
287,15449,18,399,13209,2240,2670,0,0,490,0
288,15564,16,375,13667,1897,2474,0,0,0,0
289,15557,15,478,13536,2021,2548,0,0,0,0
290,15569,17,478,13397,2172,2828,0,0,0,0
291,15618,14,510,13720,1898,2578,0,0,0,0
292,15553,17,510,13495,2058,2722,0,0,0,0
293,15611,17,357,13659,1952,2504,0,0,0,0
294,15559,19,590,13338,2221,2870,0,0,0,0
295,15550,19,590,13164,2386,3076,0,0,0,0
296,15374,16,374,13384,1990,2578,0,0,0,0
297,15605,12,381,13777,1828,2338,0,0,0,0
298,15526,17,335,13545,1981,2452,0,0,0,0
299,15521,17,476,13389,2132,2730,0,0,0,0
300,15589,16,476,13531,2058,2580,0,0,0,0
301,15587,18,475,13564,2023,2596,0,0,0,0
302,15552,18,475,13385,2167,2788,0,0,0,0
303,15498,17,413,13314,2184,2740,0,0,0,0
304,15622,14,361,13688,1934,2446,0,0,0,0
305,15502,16,409,13433,2069,2584,0,0,0,0
306,15553,17,473,13544,2009,2576,0,0,0,0
307,15558,16,463,13473,2085,2714,0,0,0,0
308,15661,16,463,13688,1973,2580,0,0,0,0
309,15589,16,346,13585,2004,2540,0,0,0,0
310,15557,13,469,13634,1923,2500,0,0,0,0
311,15554,16,469,13318,2236,2884,0,0,0,0
312,15579,17,369,13460,2119,2652,0,0,0,0
313,15615,16,404,13756,1859,2396,0,0,0,0
314,15435,16,404,13445,1990,2490,0,0,0,0
315,15648,17,336,13634,2014,2574,0,0,0,0
316,15574,11,489,13520,2054,2562,0,0,0,0
317,15460,16,399,13540,1920,2474,0,0,0,0
318,15522,9,385,14150,1372,1533,0,0,795,0
319,15503,10,305,14135,1368,1516,0,0,908,0
320,15577,8,305,14129,1448,1606,0,0,884,0
321,15553,18,357,13561,1992,2584,0,0,0,0
322,15439,22,422,13246,2193,2692,0,0,0,0
323,15440,17,422,13414,2026,2450,0,0,0,0
324,15529,10,452,14024,1505,1647,0,0,1117,0
325,15594,19,369,13475,2119,2582,0,0,0,0
326,15472,17,371,13216,2256,2733,0,0,101,0
327,15507,12,485,13948,1559,1718,0,0,974,0
328,15573,6,336,14221,1352,1500,0,0,912,0
329,15603,9,397,14135,1468,1678,0,0,834,0
