Mon Apr 21 16:19:16, Info:  Using 1 threads 
Mon Apr 21 16:19:16, Info:  Mesh contains 1024 partitions 
Mon Apr 21 16:19:16, Info:  Min number of elements per partition: 165715 
Mon Apr 21 16:19:16, Info:  Avg number of elements per partition 186620 
Mon Apr 21 16:19:16, Info:  Max number of elements per partition 187227 
Mon Apr 21 16:19:16, Info:  Min number of MPI boundaries per partition: 3 
Mon Apr 21 16:19:16, Info:  Avg number of MPI boundaries per partition 12.582 
Mon Apr 21 16:19:16, Info:  Max number of MPI boundaries per partition 23 
Mon Apr 21 16:19:16, Info:  Min number of MPI boundary faces per partition: 5242 
Mon Apr 21 16:19:16, Info:  Avg number of MPI boundary faces per partition 12533.2 
Mon Apr 21 16:19:16, Info:  Max number of MPI boundary faces per partition 18364 
Mon Apr 21 16:19:16, Info:  printing statistics per partition. 
Mon Apr 21 16:19:16, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
94,186967,9,2746,178063,8904,11470,0,0,0,2674
95,186962,15,3545,175344,11618,15388,0,0,0,0
96,186919,12,3037,176817,10102,12495,0,0,0,2183
97,186855,13,3037,175239,11616,14844,0,0,0,0
98,186726,16,3014,174925,11801,15312,0,0,0,0
99,186757,10,2731,177428,9329,12647,0,0,0,1167
100,186915,8,3705,177739,9176,11749,0,0,0,3785
101,186929,11,3705,176768,10161,12945,0,0,0,1661
102,187037,10,2612,177180,9857,12266,0,0,0,1876
103,186890,12,2197,177892,8998,11537,0,0,0,3429
104,186897,15,2304,175718,11179,13588,0,0,4112,0
105,186987,8,2304,179687,7300,8669,0,0,8395,0
106,186915,7,1805,180408,6507,7849,0,0,6939,1844
107,186952,8,1967,180448,6504,7727,0,0,7829,1570
108,186875,13,2940,175562,11313,14037,0,0,4297,0
109,186960,9,2940,179679,7281,8781,0,0,9325,0
110,186872,20,3014,173954,12918,16466,0,0,0,0
111,186872,13,2296,178135,8737,10265,0,0,8475,0
112,186817,9,2565,177043,9774,12419,0,0,0,1751
113,186870,6,2565,179712,7158,9028,0,0,0,4310
114,186692,13,1901,176726,9966,12973,0,0,0,1389
115,186760,8,2258,179538,7222,9282,0,0,0,4282
116,186764,11,3082,176137,10627,13536,0,0,0,1182
117,186741,8,3082,178522,8219,10571,0,0,0,3227
118,186781,17,2523,174779,12002,15062,0,0,0,0
119,186862,16,2787,174581,12281,15573,0,0,0,409
120,186427,7,2391,178940,7487,8996,0,0,6479,681
121,186518,8,2391,180298,6220,7444,0,0,8506,1818
122,186840,11,1994,178116,8724,10686,0,0,6982,0
