Mon Apr 21 16:22:04, Info:  Using 1 threads 
Mon Apr 21 16:22:05, Info:  Mesh contains 4096 partitions 
Mon Apr 21 16:22:05, Info:  Min number of elements per partition: 38651 
Mon Apr 21 16:22:05, Info:  Avg number of elements per partition 46654.9 
Mon Apr 21 16:22:05, Info:  Max number of elements per partition 46822 
Mon Apr 21 16:22:05, Info:  Min number of MPI boundaries per partition: 4 
Mon Apr 21 16:22:05, Info:  Avg number of MPI boundaries per partition 13.3765 
Mon Apr 21 16:22:05, Info:  Max number of MPI boundaries per partition 30 
Mon Apr 21 16:22:05, Info:  Min number of MPI boundary faces per partition: 1888 
Mon Apr 21 16:22:05, Info:  Avg number of MPI boundary faces per partition 5104.11 
Mon Apr 21 16:22:05, Info:  Max number of MPI boundary faces per partition 7182 
Mon Apr 21 16:22:05, Info:  printing statistics per partition. 
Mon Apr 21 16:22:05, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
0,46705,14,900,42301,4404,5714,0,0,0,0
1,46682,11,760,42651,4031,5169,0,0,0,507
2,46691,12,856,42870,3821,4869,0,0,0,749
3,46679,12,900,42522,4157,5402,0,0,0,632
4,46708,12,1178,42960,3748,4671,0,0,0,1067
5,46673,16,1178,41811,4862,6194,0,0,0,180
6,46731,18,1104,42286,4445,5812,0,0,0,0
7,46744,14,1104,42988,3756,4732,0,0,0,794
8,46703,7,978,43976,2727,3565,0,0,0,1913
9,46704,12,1270,42484,4220,5414,0,0,0,370
10,46670,11,1083,42757,3913,4943,0,0,0,697
11,46688,13,1083,42330,4358,5671,0,0,0,369
12,46690,10,1011,43260,3430,4456,0,0,0,922
13,46754,15,1270,42354,4400,5757,0,0,0,331
14,46704,9,1180,43944,2760,3581,0,0,0,1699
15,46678,11,1180,42755,3923,5085,0,0,0,609
16,46682,17,1018,41829,4853,6310,0,0,0,0
17,46668,18,1018,42034,4634,5872,0,0,0,0
18,46666,14,945,41932,4734,6008,0,0,0,0
19,46699,16,935,42146,4553,5752,0,0,0,0
20,46735,16,1199,42214,4521,5944,0,0,0,0
21,46700,17,1199,42421,4279,5690,0,0,0,0
22,46724,17,969,41674,5050,6474,0,0,0,0
23,46675,20,731,42317,4358,5604,0,0,0,0
24,46725,14,1483,41509,5216,6666,0,0,0,344
25,46750,10,1483,43205,3545,4634,0,0,0,950
26,46692,10,874,42751,3941,5217,0,0,0,513
27,46687,15,906,42238,4449,5766,0,0,0,258
28,46686,18,1140,42033,4653,5982,0,0,0,0
29,46679,18,1140,42007,4672,5958,0,0,0,0
30,46680,14,728,42889,3791,4901,0,0,0,663
31,46683,13,1137,41987,4696,6068,0,0,0,0
32,46698,18,943,42094,4604,5868,0,0,0,0
33,46702,17,943,42168,4534,5898,0,0,0,0
34,46682,16,1053,42006,4676,6094,0,0,0,0
35,46689,19,1053,41841,4848,6356,0,0,0,0
36,46695,10,921,42911,3784,4868,0,0,0,842
37,46719,14,997,42127,4592,5964,0,0,0,0
38,46704,11,1061,42794,3910,4996,0,0,0,374
