partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
111,400000,4,4000,385789,14211,14400,0,0,8000,0
112,400000,4,4000,385809,14191,14400,0,0,8000,0
113,400000,5,4000,381918,18082,18400,0,0,4000,0
114,400000,5,4000,381918,18082,18400,0,0,4000,0
115,400000,5,4000,381918,18082,18400,0,0,4000,0
116,400000,5,4000,381918,18082,18400,0,0,4000,0
117,400000,5,4000,381918,18082,18400,0,0,4000,0
118,400000,5,4000,381918,18082,18400,0,0,4000,0
119,400000,5,4000,381918,18082,18400,0,0,4000,0
120,400000,5,4000,381918,18082,18400,0,0,4000,0
121,400000,5,4000,381918,18082,18400,0,0,4000,0
122,400000,5,4000,381918,18082,18400,0,0,4000,0
123,400000,5,4000,381918,18082,18400,0,0,4000,0
124,400000,5,4000,381918,18082,18400,0,0,4000,0
125,400000,5,4000,381918,18082,18400,0,0,4000,0
126,400000,5,4000,381918,18082,18400,0,0,4000,0
127,400000,4,4000,385789,14211,14400,0,0,8000,0
128,400000,4,4000,385809,14191,14400,0,0,8000,0
129,400000,5,4000,381918,18082,18400,0,0,4000,0
130,400000,5,4000,381918,18082,18400,0,0,4000,0
131,400000,5,4000,381918,18082,18400,0,0,4000,0
132,400000,5,4000,381918,18082,18400,0,0,4000,0
133,400000,5,4000,381918,18082,18400,0,0,4000,0
134,400000,5,4000,381918,18082,18400,0,0,4000,0
135,400000,5,4000,381918,18082,18400,0,0,4000,0
136,400000,5,4000,381918,18082,18400,0,0,4000,0
137,400000,5,4000,381918,18082,18400,0,0,4000,0
138,400000,5,4000,381918,18082,18400,0,0,4000,0
139,400000,5,4000,381918,18082,18400,0,0,4000,0
140,400000,5,4000,381918,18082,18400,0,0,4000,0
141,400000,5,4000,381918,18082,18400,0,0,4000,0
142,400000,5,4000,381918,18082,18400,0,0,4000,0
143,400000,4,4000,385789,14211,14400,0,0,8000,0
144,400000,4,4000,385809,14191,14400,0,0,8000,0
145,400000,5,4000,381918,18082,18400,0,0,4000,0
146,400000,5,4000,381918,18082,18400,0,0,4000,0
147,400000,5,4000,381918,18082,18400,0,0,4000,0
148,400000,5,4000,381918,18082,18400,0,0,4000,0
149,400000,5,4000,381918,18082,18400,0,0,4000,0
150,400000,5,4000,381918,18082,18400,0,0,4000,0
151,400000,5,4000,381918,18082,18400,0,0,4000,0
152,400000,5,4000,381918,18082,18400,0,0,4000,0
153,400000,5,4000,381918,18082,18400,0,0,4000,0
154,400000,5,4000,381918,18082,18400,0,0,4000,0
155,400000,5,4000,381918,18082,18400,0,0,4000,0
156,400000,5,4000,381918,18082,18400,0,0,4000,0
157,400000,5,4000,381918,18082,18400,0,0,4000,0
158,400000,5,4000,381918,18082,18400,0,0,4000,0
159,400000,4,4000,385789,14211,14400,0,0,8000,0
160,400000,4,4000,385809,14191,14400,0,0,8000,0
161,400000,5,4000,381918,18082,18400,0,0,4000,0
162,400000,5,4000,381918,18082,18400,0,0,4000,0
163,400000,5,4000,381918,18082,18400,0,0,4000,0
164,400000,5,4000,381918,18082,18400,0,0,4000,0
165,400000,5,4000,381918,18082,18400,0,0,4000,0
166,400000,5,4000,381918,18082,18400,0,0,4000,0
167,400000,5,4000,381918,18082,18400,0,0,4000,0
168,400000,5,4000,381918,18082,18400,0,0,4000,0
169,400000,5,4000,381918,18082,18400,0,0,4000,0
170,400000,5,4000,381918,18082,18400,0,0,4000,0
171,400000,5,4000,381918,18082,18400,0,0,4000,0
172,400000,5,4000,381918,18082,18400,0,0,4000,0
173,400000,5,4000,381918,18082,18400,0,0,4000,0
174,400000,5,4000,381918,18082,18400,0,0,4000,0
175,400000,4,4000,385789,14211,14400,0,0,8000,0
176,400000,4,4000,385809,14191,14400,0,0,8000,0
177,400000,5,4000,381918,18082,18400,0,0,4000,0
178,400000,5,4000,381918,18082,18400,0,0,4000,0
179,400000,5,4000,381918,18082,18400,0,0,4000,0
180,400000,5,4000,381918,18082,18400,0,0,4000,0
181,400000,5,4000,381918,18082,18400,0,0,4000,0
182,400000,5,4000,381918,18082,18400,0,0,4000,0
183,400000,5,4000,381918,18082,18400,0,0,4000,0
184,400000,5,4000,381918,18082,18400,0,0,4000,0
185,400000,5,4000,381918,18082,18400,0,0,4000,0
186,400000,5,4000,381918,18082,18400,0,0,4000,0
187,400000,5,4000,381918,18082,18400,0,0,4000,0
188,400000,5,4000,381918,18082,18400,0,0,4000,0
189,400000,5,4000,381918,18082,18400,0,0,4000,0
190,400000,5,4000,381918,18082,18400,0,0,4000,0
191,400000,4,4000,385789,14211,14400,0,0,8000,0
192,400000,4,4000,385809,14191,14400,0,0,8000,0
193,400000,5,4000,381918,18082,18400,0,0,4000,0
194,400000,5,4000,381918,18082,18400,0,0,4000,0
195,400000,5,4000,381918,18082,18400,0,0,4000,0
196,400000,5,4000,381918,18082,18400,0,0,4000,0
197,400000,5,4000,381918,18082,18400,0,0,4000,0
198,400000,5,4000,381918,18082,18400,0,0,4000,0
199,400000,5,4000,381918,18082,18400,0,0,4000,0
200,400000,5,4000,381918,18082,18400,0,0,4000,0
201,400000,5,4000,381918,18082,18400,0,0,4000,0
202,400000,5,4000,381918,18082,18400,0,0,4000,0
203,400000,5,4000,381918,18082,18400,0,0,4000,0
204,400000,5,4000,381918,18082,18400,0,0,4000,0
205,400000,5,4000,381918,18082,18400,0,0,4000,0
206,400000,5,4000,381918,18082,18400,0,0,4000,0
207,400000,4,4000,385789,14211,14400,0,0,8000,0
208,400000,4,4000,385809,14191,14400,0,0,8000,0
209,400000,5,4000,381918,18082,18400,0,0,4000,0
210,400000,5,4000,381918,18082,18400,0,0,4000,0
211,400000,5,4000,381918,18082,18400,0,0,4000,0
