partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
11824,9098,14,362,7737,1361,1796,0,0,0,0
11825,9119,19,257,7688,1431,1870,0,0,0,0
11826,9098,15,252,7752,1346,1734,0,0,0,0
11827,9115,8,252,8245,870,979,0,0,469,176
11828,9097,7,252,8302,795,868,0,0,610,208
11829,9039,15,252,7774,1265,1522,0,0,0,362
11830,9095,9,364,7938,1157,1458,0,0,0,272
11831,9127,16,364,7650,1477,1769,0,0,0,97
11832,9087,16,332,7643,1444,1870,0,0,0,0
11833,9146,20,332,7731,1415,1830,0,0,0,0
11834,9066,19,235,7625,1441,1740,0,0,0,0
11835,8992,13,419,7630,1362,1528,0,0,296,0
11836,9122,8,419,8072,1050,1184,0,0,472,0
11837,9128,18,360,7671,1457,1874,0,0,0,0
11838,9032,22,360,7424,1608,1966,0,0,0,0
11839,9090,19,259,7560,1530,2008,0,0,0,0
11840,9104,12,314,7773,1331,1752,0,0,0,0
11841,9131,15,281,7767,1364,1716,0,0,0,0
11842,9063,12,300,7909,1154,1300,0,0,340,0
11843,9128,10,276,8039,1089,1209,0,0,491,0
11844,9128,8,214,8138,990,1114,0,0,528,0
11845,9149,10,227,8044,1105,1247,0,0,339,0
11846,9034,9,300,7884,1150,1271,0,0,443,0
11847,9127,11,254,7936,1191,1358,0,0,332,0
11848,9073,8,317,8052,1021,1158,0,0,506,0
11849,9089,10,342,7858,1231,1376,0,0,364,0
11850,9089,10,236,8037,1052,1163,0,0,451,0
11851,9066,8,260,8136,930,1034,0,0,476,0
11852,9164,9,342,8137,1027,1131,0,0,561,0
11853,9100,14,328,7689,1411,1826,0,0,0,0
11854,9065,19,292,7624,1441,1706,0,0,0,0
11855,9163,16,245,7788,1375,1790,0,0,0,0
11856,9036,14,331,7765,1271,1527,0,0,0,229
11857,9134,11,331,7850,1284,1578,0,0,0,150
11858,9048,6,267,8372,676,779,0,0,486,345
11859,9024,14,299,7597,1427,1688,0,0,240,154
11860,9076,8,243,8103,973,1071,0,0,533,0
11861,9081,5,235,8370,711,775,0,0,519,342
11862,9174,11,230,7928,1246,1472,0,0,75,347
11863,9069,7,372,8059,1010,1118,0,0,570,0
11864,9051,15,372,7686,1365,1558,0,0,328,0
11865,9106,12,318,7948,1158,1302,0,0,578,0
