referrer,views_total,views_unique
seissol.org,72,20
github.com,58,23
Google,38,25
seissol.readthedocs.io,8,3
Bing,3,3
DuckDuckGo,1,1
agupubs.onlinelibrary.wiley.com,1,1
doubao.com,1,1
link.zhihu.com,1,1
sciencedirect.com,1,1
