referrer,views_total,views_unique
Google,186,31
github.com,85,18
seissol.org,75,33
seissol.readthedocs.io,42,10
Bing,33,10
hpcadvisorycouncil.atlassian.net,22,4
cn.bing.com,13,8
deref-gmx.net,10,1
DuckDuckGo,8,4
chatgpt.com,5,2
