url_path,views_total,views_unique
/SeisSol/SeisSol,129,81
/SeisSol/SeisSol/tree/master/src,37,9
/SeisSol/SeisSol/commits/master,36,3
/SeisSol/SeisSol/tree/master/postprocessing/science,30,4
/SeisSol/SeisSol/tree/master/postprocessing,29,6
/SeisSol/SeisSol/tree/master/Documentation,17,6
/SeisSol/SeisSol/pulls,16,5
/SeisSol/SeisSol/commits,15,3
/SeisSol/SeisSol/blob/master/postprocessing/science/GroundMotionParametersMaps/ComputeGroundMotionParametersFromSurfaceOutput_Hybrid.py,14,4
/SeisSol/SeisSol/blob/master/preprocessing/science/generating_ASAGI_file.py,13,2
