referrer,views_total,views_unique
github.com,171,15
seissol.org,96,27
seissol.readthedocs.io,52,7
Google,45,22
Bing,15,2
cn.bing.com,11,10
deref-gmx.net,7,1
dl.acm.org,5,1
hpcadvisorycouncil.atlassian.net,5,1
rocm.docs.amd.com,4,1
