url_path,views_total,views_unique
/SeisSol/SeisSol,145,90
/SeisSol/SeisSol/commits/master,62,2
/SeisSol/SeisSol/tree/master/src,34,10
/SeisSol/SeisSol/tree/master/postprocessing,17,5
/SeisSol/SeisSol/issues,16,8
/SeisSol/SeisSol/commits/zihua/adjointFriction,13,1
/SeisSol/SeisSol/tree/master/preprocessing,12,7
/SeisSol/SeisSol/graphs/contributors,12,6
/SeisSol/SeisSol/blob/master/preprocessing/science/generating_ASAGI_file.py,12,2
/SeisSol/SeisSol/tree/master/postprocessing/visualization/tools,11,2
