time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-19 00:00:00+00:00,14,9,69,18
2025-05-20 00:00:00+00:00,1145,18,79,25
2025-05-21 00:00:00+00:00,466,13,47,17
2025-05-22 00:00:00+00:00,18,6,36,15
2025-05-23 00:00:00+00:00,20,10,68,16
2025-05-24 00:00:00+00:00,125,9,12,4
2025-05-25 00:00:00+00:00,130,10,55,9
2025-05-26 00:00:00+00:00,788,21,25,11
2025-05-27 00:00:00+00:00,1238,21,85,14
2025-05-28 00:00:00+00:00,249,15,130,24
2025-05-29 00:00:00+00:00,24,11,34,13
2025-05-30 00:00:00+00:00,594,11,38,10
2025-05-31 00:00:00+00:00,124,4,41,13
2025-06-01 00:00:00+00:00,7,6,25,8
