referrer,views_total,views_unique
Google,75,25
seissol.org,31,15
github.com,24,12
seissol.readthedocs.io,10,7
cn.bing.com,4,2
DuckDuckGo,3,3
Bing,2,2
search.brave.com,2,2
link.springer.com,2,2
sciencedirect.com,1,1
