referrer,views_total,views_unique
Google,38,21
seissol.org,31,16
github.com,26,8
Baidu,19,12
seissol.readthedocs.io,12,6
Bing,10,5
chatgpt.com,2,2
agupubs.onlinelibrary.wiley.com,2,1
nature.com,2,1
sciencedirect.com,1,1
