time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,612,15,105,23
2025-03-06 00:00:00+00:00,204,8,109,23
2025-03-07 00:00:00+00:00,140,11,152,26
2025-03-08 00:00:00+00:00,13,9,27,9
2025-03-09 00:00:00+00:00,30,7,10,4
2025-03-10 00:00:00+00:00,1295,12,44,12
2025-03-11 00:00:00+00:00,1556,12,112,17
2025-03-12 00:00:00+00:00,1379,17,200,57
2025-03-13 00:00:00+00:00,765,11,64,18
2025-03-14 00:00:00+00:00,1096,11,86,14
2025-03-15 00:00:00+00:00,1240,10,20,8
2025-03-16 00:00:00+00:00,2,2,30,12
2025-03-17 00:00:00+00:00,984,18,79,18
2025-03-18 00:00:00+00:00,240,7,79,27
