referrer,views_total,views_unique
github.com,91,29
seissol.org,36,22
Google,35,17
Bing,13,6
seissol.readthedocs.io,3,3
DuckDuckGo,2,2
chatgpt.com,2,2
youtube.com,2,2
fortran-lang.org,1,1
hpcadvisorycouncil.com,1,1
