referrer,views_total,views_unique
github.com,74,19
seissol.org,59,21
Google,58,18
cn.bing.com,14,8
seissol.readthedocs.io,10,4
mail.qq.com,9,1
Bing,7,5
Baidu,4,1
bgithub.xyz,4,1
DuckDuckGo,2,2
