referrer,views_total,views_unique
seissol.org,340,15
github.com,134,19
Google,121,20
seissol.readthedocs.io,54,6
Bing,14,9
seismo-learn.org,12,1
gitlab.com,6,2
cn.bing.com,4,4
kkgithub.com,3,2
researchgate.net,1,1
