referrer,views_total,views_unique
Google,117,20
seissol.org,63,23
github.com,61,14
seissol.readthedocs.io,28,10
Bing,27,3
hpcadvisorycouncil.atlassian.net,16,1
Baidu,8,1
deref-gmx.net,7,2
DuckDuckGo,5,2
cn.bing.com,4,3
