referrer,views_total,views_unique
github.com,146,22
seissol.org,107,19
Google,85,23
seissol.readthedocs.io,62,8
cn.bing.com,26,7
DuckDuckGo,19,3
Bing,11,10
chatgpt.com,8,4
hpcadvisorycouncil.atlassian.net,7,2
nature.com,5,1
