referrer,views_total,views_unique
Google,114,28
github.com,105,15
seissol.org,59,10
Bing,19,7
seissol.readthedocs.io,13,9
Yahoo,7,1
hpcadvisorycouncil.atlassian.net,7,1
DuckDuckGo,4,3
cn.bing.com,3,3
chatgpt.com,3,2
