referrer,views_total,views_unique
Google,288,257
seissol.org,14,12
github.com,14,9
Bing,7,2
DuckDuckGo,2,2
seissol.readthedocs.io,2,2
zenodo.org,2,2
core-man.github.io,1,1
link.seisman.info,1,1
pubs.geoscienceworld.org,1,1
