referrer,views_total,views_unique
github.com,78,21
seissol.org,42,24
Google,33,19
chatgpt.com,6,3
Bing,4,3
cs.cit.tum.de,4,1
seissol.readthedocs.io,2,2
Baidu,1,1
copilot.microsoft.com,1,1
nature.com,1,1
