time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,497,22,25,21
2026-08-28 00:00:00+00:00,222,28,30,25
2026-08-29 00:00:00+00:00,570,31,23,19
2026-08-30 00:00:00+00:00,30,21,40,25
2026-08-31 00:00:00+00:00,2942,38,60,37
2026-09-01 00:00:00+00:00,2296,42,87,27
2026-09-02 00:00:00+00:00,925,31,39,28
2026-09-03 00:00:00+00:00,35,13,48,38
2026-09-04 00:00:00+00:00,638,36,31,26
2026-09-05 00:00:00+00:00,4979,225,38,29
2026-09-06 00:00:00+00:00,61,28,14,11
2026-09-07 00:00:00+00:00,431,53,32,15
2026-09-08 00:00:00+00:00,162,37,50,25
2026-09-09 00:00:00+00:00,834,121,50,17
