referrer,views_total,views_unique
github.com,280,24
Google,94,28
seissol.org,79,26
seissol.readthedocs.io,74,13
Bing,37,14
link.seisman.info,12,1
tandem.readthedocs.io,8,1
DuckDuckGo,5,4
euc-excel.officeapps.live.com,5,1
deref-gmx.net,5,1
