referrer,views_total,views_unique
Google,125,38
github.com,92,20
seissol.org,88,20
tandem.readthedocs.io,32,1
Bing,21,11
seissol.readthedocs.io,17,7
DuckDuckGo,8,2
cn.bing.com,5,4
hpcadvisorycouncil.atlassian.net,5,1
zenodo.org,2,1
