referrer,views_total,views_unique
Google,36,20
seissol.org,32,12
github.com,30,10
seissol.readthedocs.io,14,4
Bing,8,3
DuckDuckGo,6,1
cs.cit.tum.de,1,1
sogou.com,1,1
