referrer,views_total,views_unique
seissol.org,265,25
Google,166,22
github.com,69,10
seissol.readthedocs.io,41,7
Bing,16,8
cn.bing.com,15,4
tread-horizon.eu,7,1
tandem.readthedocs.io,6,1
chatgpt.com,2,1
DuckDuckGo,1,1
