referrer,views_total,views_unique
Google,88,19
github.com,50,18
seissol.org,27,18
wx.mail.qq.com,10,1
Bing,4,4
Baidu,3,3
qwx1.2.onescienceway.com,2,2
seissol.readthedocs.io,2,2
cs.cit.tum.de,1,1
nature.com,1,1
