time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-26 00:00:00+00:00,3.0,2.0,43,16
2024-12-27 00:00:00+00:00,53.0,5.0,34,10
2024-12-28 00:00:00+00:00,3.0,2.0,10,5
2024-12-29 00:00:00+00:00,,,20,7
2024-12-30 00:00:00+00:00,3.0,2.0,20,8
2024-12-31 00:00:00+00:00,1003.0,6.0,47,9
2025-01-01 00:00:00+00:00,4.0,3.0,5,2
2025-01-02 00:00:00+00:00,619.0,5.0,41,17
2025-01-03 00:00:00+00:00,1511.0,9.0,34,7
2025-01-04 00:00:00+00:00,2.0,2.0,30,8
2025-01-05 00:00:00+00:00,2.0,2.0,20,4
2025-01-06 00:00:00+00:00,1001.0,8.0,44,18
2025-01-07 00:00:00+00:00,1732.0,14.0,79,13
2025-01-08 00:00:00+00:00,732.0,11.0,76,23
