referrer,views_total,views_unique
seissol.org,193,18
Google,172,18
github.com,86,14
seissol.readthedocs.io,48,7
cn.bing.com,17,6
Bing,16,8
tread-horizon.eu,7,1
tandem.readthedocs.io,6,1
pubs.geoscienceworld.org,3,3
chatgpt.com,2,1
