referrer,views_total,views_unique
Google,216,29
seissol.org,159,26
github.com,123,19
cn.bing.com,22,8
seissol.readthedocs.io,12,4
Baidu,2,2
DuckDuckGo,2,2
nature.com,2,1
cheese-coe.eu,1,1
fortran-lang.org,1,1
