referrer,views_total,views_unique
github.com,179,13
seissol.org,119,20
Google,106,18
cn.bing.com,35,8
readthedocs.org,31,1
seissol.readthedocs.io,29,10
gitlab.com,14,3
Bing,6,5
statics.teams.cdn.office.net,4,1
Baidu,2,1
