referrer,views_total,views_unique
github.com,80,4
Google,75,17
seissol.org,63,19
Bing,39,2
nature.com,25,4
deref-gmx.net,9,1
Yahoo,8,1
cn.bing.com,7,4
nature.x-lib.xyz,1,1
gitlab.com,1,1
