time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-18 00:00:00+00:00,477.0,6.0,71,23
2024-12-19 00:00:00+00:00,85.0,11.0,93,29
2024-12-20 00:00:00+00:00,180.0,6.0,81,16
2024-12-21 00:00:00+00:00,126.0,5.0,17,11
2024-12-22 00:00:00+00:00,1.0,1.0,6,5
2024-12-23 00:00:00+00:00,1040.0,12.0,63,11
2024-12-24 00:00:00+00:00,2.0,1.0,37,10
2024-12-25 00:00:00+00:00,3.0,2.0,48,14
2024-12-26 00:00:00+00:00,3.0,2.0,43,16
2024-12-27 00:00:00+00:00,53.0,5.0,34,10
2024-12-28 00:00:00+00:00,3.0,2.0,10,5
2024-12-29 00:00:00+00:00,,,20,7
2024-12-30 00:00:00+00:00,3.0,2.0,20,8
2024-12-31 00:00:00+00:00,1002.0,5.0,47,9
