referrer,views_total,views_unique
seissol.org,245,27
github.com,96,14
Google,67,27
seissol.readthedocs.io,54,9
cn.bing.com,15,4
Bing,13,8
core-man.github.io,13,2
chatgpt.com,3,2
seismo-learn.org,3,1
link.seisman.info,1,1
