referrer,views_total,views_unique
github.com,38,16
Google,20,16
seissol.org,9,8
Bing,9,6
seissol.readthedocs.io,6,1
chatgpt.com,3,2
DuckDuckGo,2,2
Baidu,2,1
link.seisman.info,1,1
nature.com,1,1
