referrer,views_total,views_unique
seissol.org,40,13
github.com,31,10
Baidu,29,1
Google,25,9
seissol.readthedocs.io,18,5
Bing,12,7
chatgpt.com,8,3
DuckDuckGo,8,2
claude.ai,6,1
nature.com,5,2
