referrer,views_total,views_unique
github.com,130,27
Google,76,26
seissol.org,64,23
Bing,20,6
qwx1.2.onescienceway.com,17,3
deref-gmx.net,15,2
wx.mail.qq.com,10,1
seissol.readthedocs.io,7,2
assets-eu.researchsquare.com,3,2
chatgpt.com,3,2
