time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,1148,35,40,20
2026-07-02 00:00:00+00:00,86,48,23,15
2026-07-03 00:00:00+00:00,1371,72,20,13
2026-07-04 00:00:00+00:00,428,87,16,14
2026-07-05 00:00:00+00:00,169,87,47,22
2026-07-06 00:00:00+00:00,286,50,34,28
2026-07-07 00:00:00+00:00,2450,77,30,30
2026-07-08 00:00:00+00:00,958,42,42,25
2026-07-09 00:00:00+00:00,2701,66,32,17
2026-07-10 00:00:00+00:00,590,58,30,14
2026-07-11 00:00:00+00:00,337,39,15,13
2026-07-12 00:00:00+00:00,604,43,9,8
2026-07-13 00:00:00+00:00,3125,56,20,17
2026-07-14 00:00:00+00:00,1848,43,52,23
