referrer,views_total,views_unique
Google,85,26
seissol.org,77,24
github.com,54,7
Bing,40,3
nature.com,32,2
app.readthedocs.org,10,1
deref-gmx.net,9,1
cn.bing.com,8,5
pubs.geoscienceworld.org,6,1
tandem.readthedocs.io,4,1
