referrer,views_total,views_unique
Google,271,256
github.com,60,17
seissol.org,30,14
Bing,29,6
seissol.readthedocs.io,3,3
DuckDuckGo,2,2
sites.utexas.edu,2,1
Baidu,1,1
chatgpt.com,1,1
jgr-solidearth-submit.agu.org,1,1
