referrer,views_total,views_unique
Google,94,22
seissol.org,67,24
github.com,44,14
seissol.readthedocs.io,7,3
Bing,6,4
cn.bing.com,5,4
seissol-cookbook.readthedocs.io,3,1
chatgpt.com,2,2
deref-gmx.net,2,1
cs.cit.tum.de,1,1
