time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,22,13,18,10
2026-03-30 00:00:00+00:00,60,14,68,14
2026-03-31 00:00:00+00:00,16,8,16,9
2026-04-01 00:00:00+00:00,436,24,34,21
2026-04-02 00:00:00+00:00,167,14,64,19
2026-04-03 00:00:00+00:00,1221,42,18,15
2026-04-04 00:00:00+00:00,129,19,24,6
2026-04-05 00:00:00+00:00,154,33,9,8
2026-04-06 00:00:00+00:00,429,30,9,8
2026-04-07 00:00:00+00:00,2341,26,35,22
2026-04-08 00:00:00+00:00,878,23,124,18
2026-04-09 00:00:00+00:00,164,12,53,16
2026-04-10 00:00:00+00:00,42,14,19,16
2026-04-11 00:00:00+00:00,1207,15,10,10
