referrer,views_total,views_unique
github.com,77,19
Google,34,19
seissol.org,26,18
cs.cit.tum.de,4,1
chatgpt.com,3,3
seissol.readthedocs.io,2,2
Bing,1,1
copilot.microsoft.com,1,1
open.work.weixin.qq.com,1,1
pubs.geoscienceworld.org,1,1
