time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,239,26,70,13
2026-03-14 00:00:00+00:00,338,14,41,9
2026-03-15 00:00:00+00:00,110,9,22,8
2026-03-16 00:00:00+00:00,928,30,82,20
2026-03-17 00:00:00+00:00,635,21,37,10
2026-03-18 00:00:00+00:00,293,13,31,12
2026-03-19 00:00:00+00:00,8,7,47,11
2026-03-20 00:00:00+00:00,473,20,48,9
2026-03-21 00:00:00+00:00,842,22,1,1
2026-03-22 00:00:00+00:00,893,11,18,8
2026-03-23 00:00:00+00:00,1256,35,101,16
2026-03-24 00:00:00+00:00,735,20,73,19
2026-03-25 00:00:00+00:00,679,13,78,20
2026-03-26 00:00:00+00:00,1189,17,23,8
