referrer,views_total,views_unique
Google,95,26
github.com,71,16
seissol.readthedocs.io,57,7
seissol.org,20,14
DuckDuckGo,19,3
cn.bing.com,11,5
Bing,7,7
hpcadvisorycouncil.atlassian.net,4,2
chatgpt.com,3,3
copilot.microsoft.com,3,1
