time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-15 00:00:00+00:00,15,8,29,9
2025-02-16 00:00:00+00:00,339,7,31,11
2025-02-17 00:00:00+00:00,518,10,57,19
2025-02-18 00:00:00+00:00,52,12,29,15
2025-02-19 00:00:00+00:00,671,16,91,16
2025-02-20 00:00:00+00:00,1550,18,186,25
2025-02-21 00:00:00+00:00,1091,14,116,23
2025-02-22 00:00:00+00:00,1236,8,11,9
2025-02-23 00:00:00+00:00,344,17,39,8
2025-02-24 00:00:00+00:00,2730,27,135,27
2025-02-25 00:00:00+00:00,667,19,168,22
2025-02-26 00:00:00+00:00,558,22,173,34
2025-02-27 00:00:00+00:00,1285,12,128,21
2025-02-28 00:00:00+00:00,928,8,127,15
