referrer,views_total,views_unique
github.com,87,17
seissol.org,76,32
Google,62,15
Bing,31,10
seissol.readthedocs.io,26,8
cn.bing.com,19,9
Baidu,4,1
nature.com,3,3
blog.csdn.net,2,1
easyinit.readthedocs.io,2,1
