time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,638,36,31,26
2026-09-05 00:00:00+00:00,4979,225,38,29
2026-09-06 00:00:00+00:00,61,28,14,11
2026-09-07 00:00:00+00:00,431,53,32,15
2026-09-08 00:00:00+00:00,162,37,50,25
2026-09-09 00:00:00+00:00,834,121,50,17
2026-09-10 00:00:00+00:00,1518,39,12,5
2026-09-11 00:00:00+00:00,970,36,31,19
2026-09-12 00:00:00+00:00,3003,218,10,10
2026-09-13 00:00:00+00:00,2288,80,14,14
2026-09-14 00:00:00+00:00,1843,77,23,14
2026-09-15 00:00:00+00:00,219,45,57,17
2026-09-16 00:00:00+00:00,49,27,21,19
2026-09-17 00:00:00+00:00,181,34,24,19
