referrer,views_total,views_unique
github.com,124,12
Google,61,23
seissol.org,54,22
cn.bing.com,23,5
seissol.readthedocs.io,16,6
Bing,8,5
DuckDuckGo,7,3
chatgpt.com,3,2
nature.com,2,2
ecosia.org,2,1
