referrer,views_total,views_unique
github.com,166,24
seissol.org,116,24
Google,114,22
seissol.readthedocs.io,87,8
Bing,23,5
gitlab.com,8,4
deref-gmx.net,7,1
sianipar17.com,5,2
statics.teams.cdn.office.net,4,2
cn.bing.com,3,3
