referrer,views_total,views_unique
github.com,129,22
Google,103,39
seissol.org,58,23
seissol.readthedocs.io,37,8
DuckDuckGo,27,2
cn.bing.com,8,3
chatgpt.com,7,2
Bing,5,5
link.csdn.net,3,1
palgunadi1993.github.io,2,2
