referrer,views_total,views_unique
seissol.org,132,22
github.com,95,12
deref-gmx.net,57,1
Google,52,24
DuckDuckGo,14,2
seissol.readthedocs.io,13,7
chatgpt.com,2,2
tandem.readthedocs.io,2,1
link.gitcode.com,2,1
cn.bing.com,2,1
