referrer,views_total,views_unique
github.com,62,23
Google,54,20
seissol.org,20,13
Bing,7,7
Baidu,3,3
seissol.readthedocs.io,3,3
agupubs.onlinelibrary.wiley.com,1,1
chatgpt.com,1,1
cs.cit.tum.de,1,1
fortran-lang.org,1,1
